cod_inst;programas2021;programas2022;programas2023;programas2024;programas2025;categoria;desagregacion;cod_tab
10;23691;24468;24337;24527;24963;0;0;10000
10;144;154;129;141;129;1;1;10101
10;;155;387;827;1435;1;2;10102
10;19758;20420;21015;21193;21359;1;5;10105
10;208;204;200;199;204;1;6;10106
10;687;556;453;590;592;1;7;10107
10;117;81;45;39;43;1;8;10108
10;2707;2830;2046;1457;1109;1;9;10109
10;70;68;62;81;92;1;10;10110
10;16842;16454;16661;17229;17833;2;1;10201
10;1376;1053;687;475;336;2;2;10202
10;984;1093;1080;1080;1126;2;3;10203
10;1710;3135;4252;4847;5132;2;4;10204
10;2779;2733;1657;896;536;2;5;10205
10;20996;20240;19001;18600;18705;3;1;10301
10;985;1093;1084;1080;1126;3;2;10302
10;1710;3135;4252;4847;5132;3;3;10303
11;3960;3946;4248;4288;4207;0;0;11000
11;;;6;5;4;1;2;11102
11;243;253;200;196;146;1;4;11104
11;3574;3565;3948;3981;3980;1;5;11105
11;91;57;35;43;27;1;7;11107
11;27;57;44;52;40;1;9;11109
11;25;14;15;11;10;1;10;11110
11;2612;2698;2987;2929;2913;2;1;11201
11;1348;1224;1184;1281;1212;2;2;11202
11;;24;42;35;62;2;3;11203
11;;;35;43;20;2;4;11204
11;3960;3898;4171;4209;4125;3;1;11301
11;;48;42;36;62;3;2;11302
11;;;35;43;20;3;3;11303
13;27865;27283;27341;26929;28969;0;0;13000
13;91;72;96;43;4;1;1;13101
13;494;344;299;199;388;1;4;13104
13;26175;25617;25816;25862;27218;1;5;13105
13;387;533;460;297;735;1;7;13107
13;96;123;98;66;24;1;8;13108
13;607;578;551;434;563;1;9;13109
13;15;16;21;28;37;1;10;13110
13;23120;22668;23163;23613;24998;2;1;13201
13;4608;4462;3378;2618;2190;2;2;13202
13;137;99;312;332;1014;2;3;13203
13;;54;488;366;767;2;4;13204
13;27728;27130;26541;26231;27188;3;1;13301
13;137;99;312;332;1014;3;2;13302
13;;54;488;366;767;3;3;13303
16;3056;2226;1561;1086;528;0;0;16000
16;42;13;4;2;;1;2;16102
16;235;137;9;3;;1;3;16103
16;;21;18;6;;1;4;16104
16;2774;2047;1517;1073;526;1;5;16105
16;;2;2;;;1;7;16107
16;5;6;11;2;2;1;9;16109
16;917;366;290;220;114;2;1;16201
16;2134;1672;1090;787;381;2;2;16202
16;5;2;2;;1;2;3;16203
16;;186;179;79;32;2;4;16204
16;3051;2038;1380;1007;495;3;1;16301
16;5;2;2;;1;3;2;16302
16;;186;179;79;32;3;3;16303
17;2583;2700;2802;3170;2653;0;0;17000
17;;78;142;168;125;1;2;17102
17;398;337;219;176;91;1;4;17104
17;1945;2147;2309;2707;2413;1;5;17105
17;47;40;26;;;1;8;17108
17;156;81;99;119;24;1;9;17109
17;37;17;7;;;1;10;17110
17;629;643;641;749;595;2;1;17201
17;332;296;266;218;191;2;2;17202
17;196;557;491;562;464;2;3;17203
17;861;1114;1376;1628;1396;2;4;17204
17;565;90;28;13;7;2;5;17205
17;1170;899;868;919;758;3;1;17301
17;552;687;558;623;499;3;2;17302
17;861;1114;1376;1628;1396;3;3;17303
19;25671;27224;28938;31708;34925;0;0;19000
19;2784;2986;2856;2521;2403;1;2;19102
19;96;;;;;1;4;19104
19;21890;23026;24617;27520;30703;1;5;19105
19;729;898;1141;1398;1404;1;7;19107
19;29;77;95;45;68;1;8;19108
19;143;237;229;224;347;1;9;19109
19;16188;16260;17708;19676;22183;2;1;19201
19;2316;2171;3595;2722;2062;2;2;19202
19;;187;1039;1831;2703;2;3;19203
19;1818;4043;4864;6193;7002;2;4;19204
19;5349;4563;1732;1286;975;2;5;19205
19;23836;22994;23035;23684;25220;3;1;19301
19;17;187;1039;1831;2703;3;2;19302
19;1818;4043;4864;6193;7002;3;3;19303
20;56840;57645;59075;64226;72380;0;0;20000
20;732;580;574;733;896;1;1;20101
20;668;734;715;611;717;1;4;20104
20;47703;48929;51106;53786;57668;1;5;20105
20;397;471;383;384;413;1;6;20106
20;276;363;203;2569;5929;1;7;20107
20;3;2;71;66;136;1;8;20108
20;6831;6333;5750;5776;6288;1;9;20109
20;230;233;273;301;333;1;10;20110
20;41689;41336;42420;43986;46316;2;1;20201
20;7415;6271;5385;5381;4896;2;2;20202
20;139;419;831;1186;1922;2;3;20203
20;7596;9619;10439;13673;19246;2;4;20204
20;1;;;;;2;5;20205
20;49105;47607;47805;49367;51199;3;1;20301
20;139;419;831;1186;1935;3;2;20302
20;7596;9619;10439;13673;19246;3;3;20303
22;9709;9146;9354;9792;10806;0;0;22000
22;203;244;207;193;147;1;4;22104
22;8611;8083;8010;8381;9379;1;5;22105
22;;;;69;44;1;7;22107
22;895;819;1137;1149;1236;1;9;22109
22;6585;6074;5748;5391;5110;2;1;22201
22;2133;2014;1849;1563;1344;2;2;22202
22;390;321;456;524;583;2;3;22203
22;601;737;1301;2314;3769;2;4;22204
22;7502;6864;6379;5929;5554;3;1;22301
22;1606;1545;1674;1549;1483;3;2;22302
22;601;737;1301;2314;3769;3;3;22303
23;12813;12517;13095;12933;14038;0;0;23000
23;2267;2988;2955;2768;2587;1;1;23101
23;7694;6953;7628;7645;8049;1;5;23105
23;963;648;632;691;1270;1;7;23107
23;1806;1875;1819;1762;2026;1;9;23109
23;83;53;61;67;106;1;10;23110
23;12092;11721;12254;12205;11409;2;1;23201
23;471;375;334;195;124;2;2;23202
23;;70;147;206;1415;2;3;23203
23;;34;134;250;1090;2;4;23204
23;250;317;226;77;;2;5;23205
23;12813;12413;12814;12477;11533;3;1;23301
23;;70;147;206;1415;3;2;23302
23;;34;134;250;1090;3;3;23303
26;5715;7165;7101;7287;6892;0;0;26000
26;45;110;99;106;121;1;4;26104
26;5192;6333;6368;6545;6494;1;5;26105
26;24;59;46;68;24;1;7;26107
26;14;87;39;25;;1;8;26108
26;440;576;549;543;253;1;9;26109
26;2307;2766;3044;3244;3282;2;1;26201
26;687;687;641;586;548;2;2;26202
26;1258;1617;1570;1589;1552;2;3;26203
26;1463;2095;1846;1868;1510;2;4;26204
26;2994;3453;3685;3830;3830;3;1;26301
26;1258;1617;1570;1589;1552;3;2;26302
26;1463;2095;1846;1868;1510;3;3;26303
31;30622;31349;31735;32279;41899;0;0;31000
31;18;;;;;1;2;31102
31;;;;112;188;1;3;31103
31;106;134;162;164;167;1;4;31104
31;29517;29607;29543;29613;31000;1;5;31105
31;149;128;174;249;295;1;6;31106
31;286;1026;1325;1598;8844;1;7;31107
31;527;443;490;494;1347;1;9;31109
31;19;11;41;49;58;1;10;31110
31;27187;27077;26697;26221;27129;2;1;31201
31;3252;3431;3685;3786;4447;2;2;31202
31;44;62;45;;34;2;3;31203
31;139;779;1308;2272;10289;2;4;31204
31;30411;30508;30358;30007;31534;3;1;31301
31;72;62;69;;76;3;2;31302
31;139;779;1308;2272;10289;3;3;31303
34;15743;16211;18981;23316;20595;0;0;34000
34;960;936;1159;1046;1015;1;1;34101
34;168;225;303;366;438;1;4;34104
34;7697;7611;7533;7642;7662;1;5;34105
34;409;474;479;538;560;1;6;34106
34;4853;4836;7524;11764;8780;1;7;34107
34;327;446;342;281;251;1;8;34108
34;1195;1508;1479;1512;1729;1;9;34109
34;134;175;162;167;160;1;10;34110
34;11268;11535;11551;11577;11460;2;1;34201
34;346;397;414;286;299;2;2;34202
34;2602;2744;5052;6452;4995;2;3;34203
34;1527;1535;1964;5001;3841;2;4;34204
34;11614;11932;11965;11863;11759;3;1;34301
34;2602;2744;5052;6452;4995;3;2;34302
34;1527;1535;1964;5001;3841;3;3;34303
38;2534;2669;2770;2843;2822;0;0;38000
38;59;58;61;28;5;1;2;38102
38;99;103;70;45;21;1;3;38103
38;47;57;40;50;;1;4;38104
38;2255;2326;2494;2565;2638;1;5;38105
38;;;6;;;1;7;38107
38;;43;12;12;43;1;8;38108
38;74;82;87;143;115;1;9;38109
38;2447;2489;2619;2627;2655;2;1;38201
38;12;58;20;17;1;2;3;38203
38;75;122;131;199;166;2;4;38204
38;2447;2489;2619;2627;2655;3;1;38301
38;12;58;20;17;1;3;2;38302
38;75;122;131;199;166;3;3;38303
39;40257;44191;48175;49509;52972;0;0;39000
39;777;795;1081;984;1023;1;1;39101
39;352;405;269;283;318;1;4;39104
39;33776;37075;39776;43171;46213;1;5;39105
39;324;325;416;318;405;1;6;39106
39;1354;1348;2200;1180;1315;1;7;39107
39;311;439;715;422;302;1;8;39108
39;3294;3718;3608;3003;3225;1;9;39109
39;69;86;110;148;171;1;10;39110
39;31625;33867;37131;37919;39955;2;1;39201
39;4829;6565;5772;6295;5298;2;2;39202
39;261;328;373;344;1817;2;3;39203
39;368;1331;3082;3643;5182;2;4;39204
39;3174;2100;1817;1308;720;2;5;39205
39;39586;42524;44686;45522;45973;3;1;39301
39;303;336;407;344;1817;3;2;39302
39;368;1331;3082;3643;5182;3;3;39303
42;6857;6462;6329;6104;5827;0;0;42000
42;67;20;25;31;29;1;1;42101
42;6;3;3;1;;1;3;42103
42;6722;6149;6129;5963;5779;1;5;42105
42;1;170;;;;1;7;42107
42;4;61;118;44;;1;8;42108
42;46;46;44;52;17;1;9;42109
42;11;13;10;13;2;1;10;42110
42;6127;5611;5703;5570;5454;2;1;42201
42;718;668;616;521;371;2;2;42202
42;12;13;10;13;2;2;3;42203
42;;170;;;;2;4;42204
42;6839;6279;6319;6091;5825;3;1;42301
42;18;13;10;13;2;3;2;42302
42;;170;;;;3;3;42303
45;19891;20139;21255;22598;23008;0;0;45000
45;409;427;638;689;807;1;1;45101
45;94;100;86;69;46;1;3;45103
45;;;;67;17;1;4;45104
45;14890;14752;15648;16180;16784;1;5;45105
45;480;506;544;598;626;1;6;45106
45;2798;2898;3066;3790;3622;1;7;45107
45;57;50;57;54;60;1;8;45108
45;1072;1307;1116;1043;934;1;9;45109
45;91;99;100;108;112;1;10;45110
45;16770;16443;17538;18159;18830;2;1;45201
45;308;335;217;243;253;2;2;45202
45;985;557;785;1142;1208;2;3;45203
45;1187;2216;2402;2791;2548;2;4;45204
45;641;588;313;263;169;2;5;45205
45;17664;17351;18068;18653;19242;3;1;45301
45;1040;572;785;1154;1218;3;2;45302
45;1187;2216;2402;2791;2548;3;3;45303
46;5641;6396;6479;5247;3842;0;0;46000
46;983;994;932;645;358;1;2;46102
46;40;50;44;33;32;1;3;46103
46;41;74;35;4;4;1;4;46104
46;4548;5184;5312;4522;3448;1;5;46105
46;17;;49;;;1;7;46107
46;12;94;107;43;;1;9;46109
46;2068;2029;2072;1742;1486;2;1;46201
46;2473;1964;1550;1258;942;2;2;46202
46;454;757;839;539;345;2;3;46203
46;641;1646;2018;1707;1069;2;4;46204
46;5;;;1;;2;5;46205
46;4546;3993;3622;3001;2428;3;1;46301
46;454;757;839;539;345;3;2;46302
46;641;1646;2018;1707;1069;3;3;46303
48;827;226;39;4;;0;0;48000
48;309;116;;;;1;4;48104
48;518;110;39;4;;1;5;48105
48;647;192;3;;;2;1;48201
48;87;34;36;4;;2;2;48202
48;93;;;;;2;5;48205
48;827;226;39;4;;3;1;48301
50;8667;9264;9289;9023;8858;0;0;50000
50;126;131;174;171;171;1;3;50103
50;447;397;502;122;296;1;4;50104
50;6754;6838;6958;6799;7098;1;5;50105
50;77;303;204;412;238;1;7;50107
50;1240;1565;1413;1478;1007;1;9;50109
50;23;30;38;41;48;1;10;50110
50;6163;6306;6459;6340;6630;2;1;50201
50;1326;1315;1051;947;717;2;2;50202
50;72;184;147;197;110;2;3;50203
50;1106;1459;1632;1539;1401;2;4;50204
50;7489;7621;7510;7287;7347;3;1;50301
50;72;184;147;197;110;3;2;50302
50;1106;1459;1632;1539;1401;3;3;50303
54;15807;9117;4217;1395;338;0;0;54000
54;3;2;2;;;1;2;54102
54;5670;2515;669;124;23;1;3;54103
54;10134;6600;3546;1271;315;1;5;54105
54;9735;5778;2661;863;210;2;1;54201
54;6072;3017;1171;341;77;2;2;54202
54;;322;385;191;51;2;4;54204
54;15507;8693;3814;1200;286;3;1;54301
54;300;102;18;4;1;3;2;54302
54;;322;385;191;51;3;3;54303
68;4093;3322;2873;2980;3252;0;0;68000
68;50;34;70;92;80;1;4;68104
68;1079;977;985;994;1126;1;5;68105
68;1374;818;739;621;764;1;8;68108
68;1590;1493;1079;1273;1282;1;9;68109
68;284;208;218;220;199;2;1;68201
68;845;775;767;686;672;2;2;68202
68;2964;2339;1888;2074;2381;2;4;68204
68;1129;983;985;906;871;3;1;68301
68;2964;2339;1888;2074;2381;3;3;68303
69;8625;8586;8772;8638;8960;0;0;69000
69;131;120;165;220;266;1;1;69101
69;311;320;334;284;278;1;4;69104
69;6618;6655;6777;7021;7320;1;5;69105
69;634;391;333;257;197;1;7;69107
69;89;53;48;62;50;1;8;69108
69;777;988;1037;691;740;1;9;69109
69;65;59;78;103;109;1;10;69110
69;6650;6748;6980;7240;7494;2;1;69201
69;1856;1457;1019;693;539;2;2;69202
69;;252;702;590;580;2;3;69203
69;74;89;71;115;347;2;4;69204
69;45;40;;;;2;5;69205
69;8551;8245;7999;7933;8033;3;1;69301
69;;252;702;590;580;3;2;69302
69;74;89;71;115;347;3;3;69303
70;43336;42904;45248;45324;54198;0;0;70000
70;3785;3793;3785;3946;4108;1;1;70101
70;2241;2238;2274;2261;2258;1;4;70104
70;29589;28802;31027;30991;31242;1;5;70105
70;1163;1301;1778;1863;1955;1;6;70106
70;;;;;8006;1;7;70107
70;113;126;137;99;69;1;8;70108
70;5200;5425;5094;4999;5355;1;9;70109
70;1245;1219;1153;1165;1205;1;10;70110
70;40272;39724;42573;42684;43616;2;1;70201
70;2822;2895;2467;2390;2704;2;2;70202
70;;;5;77;2309;2;3;70203
70;;;;;5391;2;4;70204
70;242;285;203;173;178;2;5;70205
70;43336;42904;45243;45247;46498;3;1;70301
70;;;5;77;2309;3;2;70302
70;;;;;5391;3;3;70303
71;26177;26464;25602;24784;25100;0;0;71000
71;306;292;291;301;342;1;1;71101
71;331;296;247;193;147;1;2;71102
71;903;754;718;703;656;1;3;71103
71;94;92;103;89;100;1;4;71104
71;22237;22895;22211;21288;21504;1;5;71105
71;335;352;568;567;579;1;6;71106
71;621;333;211;379;386;1;7;71107
71;9;27;8;15;27;1;8;71108
71;983;1080;907;922;1030;1;9;71109
71;358;343;338;327;329;1;10;71110
71;21972;22357;22036;21288;21587;2;1;71201
71;3965;3666;2984;2386;2332;2;2;71202
71;130;263;226;389;457;2;3;71203
71;79;147;336;705;724;2;4;71204
71;31;31;20;16;;2;5;71205
71;25964;26053;25040;23690;23919;3;1;71301
71;134;264;226;389;457;3;2;71302
71;79;147;336;705;724;3;3;71303
72;17265;17243;17022;16936;17066;0;0;72000
72;;;;28;55;1;1;72101
72;;;;;4;1;3;72103
72;276;275;241;225;188;1;4;72104
72;15348;14941;14696;14538;14733;1;5;72105
72;219;400;512;562;598;1;6;72106
72;165;231;81;112;60;1;7;72107
72;473;386;427;385;328;1;8;72108
72;565;771;821;824;819;1;9;72109
72;219;239;244;262;281;1;10;72110
72;16565;16413;16217;15950;16170;2;1;72201
72;472;518;424;283;215;2;2;72202
72;99;193;285;461;464;2;3;72203
72;94;119;96;242;217;2;4;72204
72;35;;;;;2;5;72205
72;17033;16923;16634;16225;16382;3;1;72301
72;138;201;292;469;467;3;2;72302
72;94;119;96;242;217;3;3;72303
73;8073;7896;7780;7124;7279;0;0;73000
73;222;166;187;166;147;1;1;73101
73;573;557;516;492;436;1;2;73102
73;;4;9;16;16;1;4;73104
73;7073;6972;6743;6369;6414;1;5;73105
73;;;;1;47;1;6;73106
73;82;56;207;;78;1;7;73107
73;80;83;57;45;48;1;9;73109
73;43;58;61;35;93;1;10;73110
73;7418;7247;7033;6670;6765;2;1;73201
73;573;593;540;454;436;2;2;73202
73;40;56;147;;67;2;3;73203
73;42;;60;;11;2;4;73204
73;7991;7840;7573;7124;7201;3;1;73301
73;40;56;147;;67;3;2;73302
73;42;;60;;11;3;3;73303
74;8194;7784;7674;7654;7762;0;0;74000
74;306;183;131;64;23;1;3;74103
74;248;255;263;259;268;1;4;74104
74;7419;7138;7089;7142;7262;1;5;74105
74;24;23;17;21;;1;7;74107
74;131;115;96;88;118;1;9;74109
74;66;70;78;80;91;1;10;74110
74;8149;7741;7617;7593;7715;2;1;74201
74;22;31;40;40;34;2;2;74202
74;12;5;;21;13;2;3;74203
74;11;7;;;;2;4;74204
74;;;17;;;2;5;74205
74;8171;7772;7674;7633;7749;3;1;74301
74;12;5;;21;13;3;2;74302
74;11;7;;;;3;3;74303
75;12522;11931;11672;11619;12051;0;0;75000
75;131;107;104;114;126;1;1;75101
75;54;57;49;49;45;1;2;75102
75;1238;1121;987;810;688;1;3;75103
75;10731;10295;9930;10025;10465;1;5;75105
75;21;37;103;177;181;1;7;75107
75;;;134;64;74;1;8;75108
75;254;211;254;248;324;1;9;75109
75;93;103;111;132;148;1;10;75110
75;11981;11366;11174;11127;11570;2;1;75201
75;541;565;489;473;437;2;2;75202
75;;;9;19;44;2;3;75203
75;12522;11931;11663;11600;12007;3;1;75301
75;;;9;19;44;3;2;75302
76;12183;11941;11583;12300;12165;0;0;76000
76;223;175;178;196;216;1;1;76101
76;258;234;226;251;193;1;2;76102
76;;1;;;;1;3;76103
76;11065;10754;10468;10809;10684;1;5;76105
76;11;73;92;210;234;1;6;76106
76;15;21;10;24;22;1;8;76108
76;394;490;398;526;507;1;9;76109
76;217;193;211;284;309;1;10;76110
76;12157;11911;11554;12253;12114;2;1;76201
76;;;5;28;24;2;3;76203
76;26;30;24;19;27;2;4;76204
76;12157;11911;11554;12253;12114;3;1;76301
76;;;5;28;24;3;2;76302
76;26;30;24;19;27;3;3;76303
77;4169;3921;4046;4237;4500;0;0;77000
77;795;779;694;678;582;1;2;77102
77;249;239;217;232;322;1;3;77103
77;3030;2838;3024;3193;3478;1;5;77105
77;27;;;24;;1;7;77107
77;60;56;95;95;98;1;9;77109
77;8;9;16;15;20;1;10;77110
77;3281;3091;3272;3518;3802;2;1;77201
77;808;685;717;675;643;2;2;77202
77;80;145;57;44;55;2;5;77205
77;4169;3921;4046;4237;4500;3;1;77301
78;12679;11786;11524;12113;12654;0;0;78000
78;;;;;56;1;1;78101
78;212;191;131;223;214;1;2;78102
78;;;2;;;1;3;78103
78;106;104;100;120;135;1;4;78104
78;11090;10413;10314;10712;11150;1;5;78105
78;64;57;57;92;120;1;6;78106
78;151;119;108;108;64;1;7;78107
78;841;680;553;555;596;1;9;78109
78;215;222;259;303;319;1;10;78110
78;12474;11626;11369;11943;12339;2;1;78201
78;174;106;80;88;91;2;2;78202
78;31;54;75;57;211;2;3;78203
78;;;;25;13;2;4;78204
78;12619;11709;11433;12031;12430;3;1;78301
78;60;77;91;57;211;3;2;78302
78;;;;25;13;3;3;78303
79;7833;7657;7693;7894;8144;0;0;79000
79;1799;1512;1406;1495;1626;1;2;79102
79;1000;1038;1048;938;925;1;3;79103
79;4940;5053;5198;5414;5513;1;5;79105
79;28;11;;;;1;7;79107
79;36;;1;;30;1;8;79108
79;18;29;31;34;34;1;9;79109
79;12;14;9;13;16;1;10;79110
79;5785;5742;5852;6175;6518;2;1;79201
79;2020;1904;1841;1719;1626;2;2;79202
79;28;11;;;;2;3;79203
79;7805;7646;7693;7894;8144;3;1;79301
79;28;11;;;;3;2;79302
80;10372;10384;10672;10605;10848;0;0;80000
80;52;9;3;1;1;1;1;80101
80;19;10;;;;1;2;80102
80;180;257;304;295;317;1;3;80103
80;6;6;6;2;1;1;4;80104
80;9952;9984;10127;10008;10281;1;5;80105
80;136;76;175;239;184;1;9;80109
80;27;42;57;60;64;1;10;80110
80;9952;9910;10156;10097;10276;2;1;80201
80;363;451;513;505;568;2;2;80202
80;57;23;3;3;4;2;5;80205
80;10372;10384;10672;10605;10848;3;1;80301
81;11532;10272;10021;9548;9819;0;0;81000
81;2693;2282;2156;2202;2075;1;2;81102
81;2417;2154;2050;1665;1750;1;3;81103
81;5811;5712;5746;5647;5954;1;5;81105
81;;;27;;;1;7;81107
81;611;52;39;22;24;1;9;81109
81;;72;3;12;16;1;10;81110
81;5408;5130;4966;4840;5007;2;1;81201
81;5652;5065;5046;4706;4784;2;2;81202
81;12;9;9;2;1;2;3;81203
81;460;68;;;27;2;4;81204
81;11029;10195;10012;9546;9791;3;1;81301
81;43;9;9;2;1;3;2;81302
81;460;68;;;27;3;3;81303
82;4482;4123;4046;4132;4278;0;0;82000
82;4358;3926;3730;3863;3976;1;5;82105
82;;26;133;95;111;1;7;82107
82;92;137;158;157;169;1;9;82109
82;32;34;25;17;22;1;10;82110
82;4366;3934;3744;3855;3882;2;1;82201
82;116;141;102;86;80;2;2;82202
82;;48;81;100;189;2;3;82203
82;;;119;91;127;2;4;82204
82;4473;4072;3846;3941;3962;3;1;82301
82;9;51;81;100;189;3;2;82302
82;;;119;91;127;3;3;82303
83;7516;7032;7060;6895;6798;0;0;83000
83;412;401;548;664;767;1;2;83102
83;315;291;311;310;271;1;3;83103
83;177;164;173;160;156;1;4;83104
83;6317;5791;5716;5434;5327;1;5;83105
83;;3;2;;;1;7;83107
83;42;31;;11;;1;8;83108
83;227;324;257;256;205;1;9;83109
83;26;27;53;60;72;1;10;83110
83;7089;6595;6523;6219;6018;2;1;83201
83;411;357;505;588;663;2;2;83202
83;;80;31;70;76;2;3;83203
83;16;;1;18;41;2;4;83204
83;7500;6952;7028;6807;6681;3;1;83301
83;;80;31;70;76;3;2;83302
83;16;;1;18;41;3;3;83303
84;9467;9591;10110;10455;11390;0;0;84000
84;2403;2299;2322;2180;2092;1;2;84102
84;1069;963;863;551;496;1;3;84103
84;5913;6229;6851;7642;8657;1;5;84105
84;50;71;47;58;124;1;9;84109
84;32;29;27;24;21;1;10;84110
84;7826;8113;8779;9497;10549;2;1;84201
84;1620;1473;1327;958;840;2;2;84202
84;21;5;4;;1;2;4;84204
84;9446;9586;10106;10455;11389;3;1;84301
84;21;5;4;;1;3;3;84303
85;9596;9012;8395;8204;8546;0;0;85000
85;31;21;22;19;22;1;1;85101
85;70;50;54;56;50;1;2;85102
85;8;4;;;;1;3;85103
85;9303;8616;7995;7860;8089;1;5;85105
85;94;160;119;43;52;1;7;85107
85;20;24;28;28;18;1;8;85108
85;62;126;159;172;273;1;9;85109
85;8;11;18;26;42;1;10;85110
85;9297;8583;8035;7955;8225;2;1;85201
85;172;216;210;127;120;2;2;85202
85;88;167;110;114;196;2;3;85203
85;39;46;40;8;5;2;4;85204
85;9469;8799;8245;8082;8345;3;1;85301
85;88;167;110;114;196;3;2;85302
85;39;46;40;8;5;3;3;85303
86;44887;42912;43250;54939;55727;0;0;86000
86;2687;2682;2748;2907;3154;1;1;86101
86;2057;2190;2403;2514;2781;1;4;86104
86;26436;25764;26707;27424;27829;1;5;86105
86;558;590;652;808;905;1;6;86106
86;8134;6418;5543;15323;14863;1;7;86107
86;22;31;23;26;84;1;8;86108
86;3634;3852;3769;4493;4649;1;9;86109
86;1359;1385;1405;1444;1462;1;10;86110
86;36443;35500;36801;38466;39110;2;1;86201
86;5544;4773;4357;4598;4418;2;2;86202
86;1197;1306;946;1251;1149;2;3;86203
86;1606;1224;1046;10523;10960;2;4;86204
86;97;109;100;101;90;2;5;86205
86;42084;40382;41258;43165;43618;3;1;86301
86;1197;1306;946;1251;1149;3;2;86302
86;1606;1224;1046;10523;10960;3;3;86303
87;29680;30428;29045;28491;28017;0;0;87000
87;223;234;208;227;259;1;1;87101
87;160;156;141;145;141;1;4;87104
87;26186;27062;25780;25425;24970;1;5;87105
87;410;503;478;539;586;1;6;87106
87;365;132;93;75;124;1;7;87107
87;1672;1665;1657;1382;1202;1;9;87109
87;664;676;688;698;735;1;10;87110
87;28764;29866;28502;27958;27523;2;1;87201
87;665;514;500;416;321;2;2;87202
87;173;27;13;72;103;2;3;87203
87;16;;21;26;60;2;4;87204
87;62;21;9;19;10;2;5;87205
87;29424;30370;29011;28393;27818;3;1;87301
87;240;58;13;72;139;3;2;87302
87;16;;21;26;60;3;3;87303
88;22535;22476;22997;22652;22958;0;0;88000
88;446;408;514;485;526;1;1;88101
88;4248;3966;3744;3441;3367;1;2;88102
