cod_inst;programas2021;programas2022;programas2023;programas2024;programas2025;categoria;desagregacion;cod_tab
4;910;874;613;935;972;1;9;4109
4;3;3;3;6;7;1;10;4110
4;1761;1767;2526;2994;3261;2;1;4201
4;1602;1315;651;814;915;2;2;4202
4;13;1;;8;7;2;3;4203
4;624;802;289;539;671;2;4;4204
4;3363;3082;3177;3808;4176;3;1;4301
4;13;1;;8;7;3;2;4302
4;624;802;289;539;671;3;3;4303
7;142;;;;;0;0;7000
7;1;;;;;1;2;7102
7;78;;;;;1;3;7103
7;21;;;;;1;4;7104
7;42;;;;;1;5;7105
7;1;;;;;2;3;7203
7;141;;;;;2;4;7204
7;1;;;;;3;2;7302
7;141;;;;;3;3;7303
9;1909;2045;2040;2549;2194;0;0;9000
9;1909;1998;1969;2432;2012;1;5;9105
9;;20;11;42;95;1;7;9107
9;;27;60;75;87;1;9;9109
9;1430;1486;1515;1686;1328;2;1;9201
9;479;419;363;345;265;2;2;9202
9;;140;162;518;601;2;4;9204
9;1909;1905;1878;2031;1593;3;1;9301
9;;140;162;518;601;3;3;9303
10;6121;5157;4985;5504;5662;0;0;10000
10;143;152;126;140;128;1;1;10101
10;;155;219;461;802;1;2;10102
10;4473;3783;3824;3934;4070;1;5;10105
10;51;103;93;80;65;1;6;10106
10;477;302;273;460;387;1;7;10107
10;67;33;45;8;30;1;8;10108
10;893;616;392;400;157;1;9;10109
10;17;13;13;21;23;1;10;10110
10;3285;3455;3560;3734;3732;2;1;10201
10;281;75;43;59;81;2;2;10202
10;325;372;362;492;399;2;3;10203
10;1196;572;713;1046;1398;2;4;10204
10;1034;683;307;173;52;2;5;10205
10;4599;4213;3906;3966;3865;3;1;10301
10;326;372;366;492;399;3;2;10302
10;1196;572;713;1046;1398;3;3;10303
11;1225;1176;1415;1197;1146;0;0;11000
11;;;6;;;1;2;11102
11;116;83;66;71;47;1;4;11104
11;1015;1010;1285;1055;1058;1;5;11105
11;91;57;35;43;27;1;7;11107
11;;24;18;28;14;1;9;11109
11;3;2;5;;;1;10;11110
11;710;681;900;641;617;2;1;11201
11;515;471;462;493;472;2;2;11202
11;;24;18;20;37;2;3;11203
11;;;35;43;20;2;4;11204
11;1225;1152;1362;1134;1089;3;1;11301
11;;24;18;20;37;3;2;11302
11;;;35;43;20;3;3;11303
13;5686;5945;5997;5989;6671;0;0;13000
13;36;33;57;;;1;1;13101
13;488;;;;;1;4;13104
13;4596;5524;5469;5657;5798;1;5;13105
13;326;298;386;297;735;1;7;13107
13;59;25;7;;;1;8;13108
13;176;62;73;29;129;1;9;13109
13;5;3;5;6;9;1;10;13110
13;3688;5046;5082;5348;5530;2;1;13201
13;1948;865;571;317;293;2;2;13202
13;50;;35;55;153;2;3;13203
13;;34;309;269;695;2;4;13204
13;5636;5911;5653;5665;5823;3;1;13301
13;50;;35;55;153;3;2;13302
13;;34;309;269;695;3;3;13303
16;1315;14;70;;;0;0;16000
16;;;2;;;1;2;16102
16;181;;;;;1;3;16103
16;;;15;;;1;4;16104
16;1132;14;42;;;1;5;16105
16;;;2;;;1;7;16107
16;2;;9;;;1;9;16109
16;381;3;;;;2;1;16201
16;932;11;5;;;2;2;16202
16;2;;2;;;2;3;16203
16;;;63;;;2;4;16204
16;1313;14;5;;;3;1;16301
16;2;;2;;;3;2;16302
16;;;63;;;3;3;16303
17;831;846;765;846;336;0;0;17000
17;;63;91;82;39;1;2;17102
17;272;243;140;142;37;1;4;17104
17;445;502;449;585;260;1;5;17105
17;47;38;;;;1;8;17108
17;65;;85;37;;1;9;17109
17;2;;;;;1;10;17110
17;63;215;198;261;54;2;1;17201
17;59;82;67;50;25;2;2;17202
17;125;139;115;151;124;2;3;17203
17;580;392;385;384;133;2;4;17204
17;4;18;;;;2;5;17205
17;108;290;248;288;79;3;1;17301
17;143;164;132;174;124;3;2;17302
17;580;392;385;384;133;3;3;17303
19;6100;5412;7667;8875;8923;0;0;19000
19;1046;1211;1118;786;816;1;2;19102
19;23;;;;;1;4;19104
19;4249;3212;5266;6548;6471;1;5;19105
19;705;869;1115;1387;1404;1;7;19107
19;29;76;93;28;27;1;8;19108
19;48;44;75;126;205;1;9;19109
19;3567;2898;4982;5600;5499;2;1;19201
19;744;541;394;196;123;2;2;19202
19;;155;699;996;1164;2;3;19203
19;978;1607;1592;2083;2137;2;4;19204
19;811;211;;;;2;5;19205
19;5105;3650;5376;5796;5622;3;1;19301
19;17;155;699;996;1164;3;2;19302
19;978;1607;1592;2083;2137;3;3;19303
20;15051;11976;13549;16150;20849;0;0;20000
20;425;332;364;554;616;1;1;20101
20;275;142;132;128;127;1;4;20104
20;11074;8735;10355;10422;11226;1;5;20105
20;137;110;159;154;165;1;6;20106
20;159;316;153;2494;5827;1;7;20107
20;3;2;71;66;136;1;8;20108
20;2911;2275;2247;2257;2653;1;9;20109
20;67;64;68;75;99;1;10;20110
20;9207;8982;10608;11133;12001;2;1;20201
20;2190;1163;1263;935;714;2;2;20202
20;139;;6;105;524;2;3;20203
20;3515;1831;1672;3977;7610;2;4;20204
20;11397;10145;11871;12068;12702;3;1;20301
20;139;;6;105;537;3;2;20302
20;3515;1831;1672;3977;7610;3;3;20303
22;2176;1654;1648;1574;1465;0;0;22000
22;123;;;;;1;4;22104
22;1753;1397;1411;1280;1180;1;5;22105
22;;;;69;44;1;7;22107
22;300;257;237;225;241;1;9;22109
22;1147;1170;1242;1087;961;2;1;22201
22;597;224;159;137;53;2;2;22202
22;134;101;83;116;174;2;3;22203
22;298;159;164;234;277;2;4;22204
22;1311;1270;1322;1189;1000;3;1;22301
22;567;225;162;151;188;3;2;22302
22;298;159;164;234;277;3;3;22303
23;3459;3341;3258;3432;3885;0;0;23000
23;1498;1572;1533;1385;1331;1;1;23101
23;504;422;518;672;956;1;5;23105
23;631;525;471;575;773;1;7;23107
23;811;806;716;776;796;1;9;23109
23;15;16;20;24;29;1;10;23110
23;3198;2970;2833;2968;2609;2;1;23201
23;261;224;194;117;57;2;2;23202
23;;24;68;93;700;2;3;23203
23;;33;74;177;519;2;4;23204
23;;90;89;77;;2;5;23205
23;3459;3284;3116;3162;2666;3;1;23301
23;;24;68;93;700;3;2;23302
23;;33;74;177;519;3;3;23303
26;2085;1966;1900;1753;1364;0;0;26000
26;39;61;53;;;1;4;26104
26;1847;1717;1647;1519;1250;1;5;26105
26;24;27;33;57;24;1;7;26107
26;14;3;13;9;;1;8;26108
26;161;158;154;168;90;1;9;26109
26;847;958;954;875;720;2;1;26201
26;135;148;132;131;121;2;2;26202
26;450;442;391;362;299;2;3;26203
26;653;418;423;385;224;2;4;26204
26;982;1106;1086;1006;841;3;1;26301
26;450;442;391;362;299;3;2;26302
26;653;418;423;385;224;3;3;26303
31;6287;7226;7766;8551;9454;0;0;31000
31;;;;63;77;1;3;31103
31;39;42;45;43;35;1;4;31104
31;5790;5891;6148;6369;6550;1;5;31105
31;32;100;88;87;75;1;6;31106
31;285;1026;1320;1597;2267;1;7;31107
31;132;167;157;372;437;1;9;31109
31;9;;8;20;13;1;10;31110
31;5336;5423;5425;5655;5832;2;1;31201
31;807;1008;1061;965;906;2;2;31202
31;5;38;45;;10;2;3;31203
31;139;757;1235;1931;2706;2;4;31204
31;6116;6431;6462;6620;6738;3;1;31301
31;32;38;69;;10;3;2;31302
31;139;757;1235;1931;2706;3;3;31303
34;4229;5262;5253;6032;3837;0;0;34000
34;641;645;688;707;668;1;1;34101
34;34;74;123;118;117;1;4;34104
34;945;1047;1028;1088;1078;1;5;34105
34;92;93;154;167;168;1;6;34106
34;1919;2722;2685;3250;1064;1;7;34107
34;136;156;111;109;108;1;8;34108
34;439;482;445;562;608;1;9;34109
34;23;43;19;31;26;1;10;34110
34;2681;2883;2885;3043;2763;2;1;34201
34;146;130;146;122;162;2;2;34202
34;912;1552;1468;1620;593;2;3;34203
34;490;697;754;1247;319;2;4;34204
34;2827;3013;3031;3165;2925;3;1;34301
34;912;1552;1468;1620;593;3;2;34302
34;490;697;754;1247;319;3;3;34303
38;539;645;709;751;669;0;0;38000
38;20;32;23;;;1;2;38102
38;22;17;;;;1;3;38103
38;37;19;15;29;;1;4;38104
38;433;514;599;624;586;1;5;38105
38;;;6;;;1;7;38107
38;;43;12;12;38;1;8;38108
38;27;20;54;86;45;1;9;38109
38;475;553;622;625;586;2;1;38201
38;;43;19;;;2;3;38203
38;64;49;68;126;83;2;4;38204
38;475;553;622;625;586;3;1;38301
38;;43;19;;;3;2;38302
38;64;49;68;126;83;3;3;38303
39;11420;8647;11600;10757;10652;0;0;39000
39;514;557;774;558;703;1;1;39101
39;348;;34;56;22;1;4;39104
39;8640;6505;8849;8605;8160;1;5;39105
39;51;89;76;109;91;1;6;39106
39;916;624;1024;529;794;1;7;39107
39;152;209;239;140;106;1;8;39108
39;773;643;570;715;732;1;9;39109
39;26;20;34;45;44;1;10;39110
39;7088;7686;10270;9763;9002;2;1;39201
39;2471;242;516;265;166;2;2;39202
39;192;110;138;152;528;2;3;39203
39;254;369;423;474;916;2;4;39204
39;1415;240;253;103;40;2;5;39205
39;10935;8161;11024;10131;9208;3;1;39301
39;231;117;153;152;528;3;2;39302
39;254;369;423;474;916;3;3;39303
42;1110;1169;1525;1432;1492;0;0;42000
42;24;2;23;17;9;1;1;42101
42;1048;1033;1424;1378;1464;1;5;42105
42;1;59;;;;1;7;42107
42;4;60;45;15;;1;8;42108
42;31;12;30;19;17;1;9;42109
42;2;3;3;3;2;1;10;42110
42;986;958;1375;1306;1394;2;1;42201
42;121;149;147;123;96;2;2;42202
42;3;3;3;3;2;2;3;42203
42;;59;;;;2;4;42204
42;1107;1107;1522;1429;1490;3;1;42301
42;3;3;3;3;2;3;2;42302
42;;59;;;;3;3;42303
45;5014;5650;7174;7077;6817;0;0;45000
45;260;312;508;487;574;1;1;45101
45;20;27;12;8;;1;3;45103
45;;;;65;;1;4;45104
45;2704;2742;3614;3108;3173;1;5;45105
45;52;107;166;163;156;1;6;45106
45;1484;2017;2462;2827;2537;1;7;45107
45;11;14;28;24;28;1;8;45108
45;471;412;361;372;323;1;9;45109
45;12;19;23;23;26;1;10;45110
45;3612;3525;4633;4075;4141;2;1;45201
45;97;73;21;130;102;2;2;45202
45;364;429;424;643;718;2;3;45203
45;660;1492;2029;2182;1792;2;4;45204
45;281;131;67;47;64;2;5;45205
45;3946;3717;4721;4240;4297;3;1;45301
45;408;441;424;655;728;3;2;45302
45;660;1492;2029;2182;1792;3;3;45303
46;2244;1294;1143;558;446;0;0;46000
46;547;417;353;154;110;1;2;46102
46;13;;;;;1;3;46103
46;41;12;;;;1;4;46104
46;1626;824;787;404;336;1;5;46105
46;17;;3;;;1;7;46107
46;;41;;;;1;9;46109
46;487;586;577;278;219;2;1;46201
46;674;535;507;280;227;2;2;46202
46;454;96;56;;;2;3;46203
46;629;77;3;;;2;4;46204
46;1161;1121;1084;558;446;3;1;46301
46;454;96;56;;;3;2;46302
46;629;77;3;;;3;3;46303
48;140;;;;;0;0;48000
48;80;;;;;1;4;48104
48;60;;;;;1;5;48105
48;140;;;;;2;1;48201
48;140;;;;;3;1;48301
50;1589;1623;1546;1760;1596;0;0;50000
50;114;108;160;122;;1;4;50104
50;1237;1265;1381;1413;1477;1;5;50105
50;77;76;;152;94;1;7;50107
50;161;174;5;73;25;1;9;50109
50;1153;1184;1292;1312;1371;2;1;50201
50;120;146;89;101;106;2;2;50202
50;;38;5;33;25;2;3;50203
50;316;255;160;314;94;2;4;50204
50;1273;1330;1381;1413;1477;3;1;50301
50;;38;5;33;25;3;2;50302
50;316;255;160;314;94;3;3;50303
68;1175;675;840;947;778;0;0;68000
68;21;14;67;79;80;1;4;68104
68;244;110;212;275;300;1;5;68105
68;522;301;363;295;196;1;8;68108
68;388;250;198;298;202;1;9;68109
68;66;26;48;55;34;2;1;68201
68;199;84;164;132;103;2;2;68202
68;910;565;628;760;641;2;4;68204
68;265;110;212;187;137;3;1;68301
68;910;565;628;760;641;3;3;68303
69;2515;2162;2378;2253;2496;0;0;69000
69;68;57;95;128;153;1;1;69101
69;58;88;87;54;58;1;4;69104
69;1227;1220;1478;1488;1622;1;5;69105
69;634;391;331;256;197;1;7;69107
69;89;53;48;62;50;1;8;69108
69;420;337;315;238;390;1;9;69109
69;19;16;24;27;26;1;10;69110
69;1241;1394;1679;1697;1859;2;1;69201
69;1175;453;397;305;236;2;2;69202
69;;252;231;209;277;2;3;69203
69;74;63;71;42;124;2;4;69204
69;25;;;;;2;5;69205
69;2441;1847;2076;2002;2095;3;1;69301
69;;252;231;209;277;3;2;69302
69;74;63;71;42;124;3;3;69303
70;8502;8078;8849;8690;11722;0;0;70000
70;1254;1301;1306;1299;1318;1;1;70101
70;486;533;579;606;594;1;4;70104
70;4451;4497;4836;4848;5150;1;5;70105
70;278;88;456;437;447;1;6;70106
70;;;;;2249;1;7;70107
70;72;55;32;24;15;1;8;70108
70;1715;1413;1465;1293;1686;1;9;70109
70;246;191;175;183;263;1;10;70110
70;7508;7239;8050;7950;8591;2;1;70201
70;933;771;741;672;995;2;2;70202
70;;;5;36;673;2;3;70203
70;;;;;1405;2;4;70204
70;61;68;53;32;58;2;5;70205
70;8502;8078;8844;8654;9644;3;1;70301
70;;;5;36;673;3;2;70302
70;;;;;1405;3;3;70303
71;6389;5612;6117;5723;6643;0;0;71000
71;168;167;179;162;192;1;1;71101
71;123;121;121;56;58;1;2;71102
71;222;152;253;220;161;1;3;71103
71;19;17;30;27;44;1;4;71104
71;4745;4436;4732;4222;5136;1;5;71105
71;;19;190;188;185;1;6;71106
71;621;332;211;379;386;1;7;71107
71;9;27;8;15;27;1;8;71108
71;424;298;328;382;375;1;9;71109
71;58;43;65;72;79;1;10;71110
71;4689;4372;4935;4452;5214;2;1;71201
71;1497;911;823;590;795;2;2;71202
71;123;225;175;221;220;2;3;71203
71;79;104;184;460;414;2;4;71204
71;1;;;;;2;5;71205
71;6187;5283;5758;5042;6009;3;1;71301
71;123;225;175;221;220;3;2;71302
71;79;104;184;460;414;3;3;71303
72;3606;3663;4115;4250;4460;0;0;72000
72;;;;28;55;1;1;72101
72;78;79;67;64;43;1;4;72104
72;2726;2787;3160;3273;3476;1;5;72105
72;29;137;163;163;189;1;6;72106
72;165;137;80;112;60;1;7;72107
72;390;284;338;301;305;1;8;72108
72;161;198;253;247;270;1;9;72109
72;57;41;54;62;62;1;10;72110
72;3217;3360;3719;3736;3943;2;1;72201
72;196;123;83;54;48;2;2;72202
72;99;74;236;267;315;2;3;72203
72;94;106;77;193;154;2;4;72204
72;3413;3478;3802;3786;3991;3;1;72301
72;99;79;236;271;315;3;2;72302
72;94;106;77;193;154;3;3;72303
73;1647;1570;1657;1700;1710;0;0;73000
73;129;111;137;112;96;1;1;73101
73;258;258;237;236;178;1;2;73102
73;;4;6;8;3;1;4;73104
73;1137;1098;1223;1298;1380;1;5;73105
73;;;;;8;1;6;73106
73;82;56;14;;13;1;7;73107
73;33;27;26;27;12;1;9;73109
73;8;16;14;19;20;1;10;73110
73;1307;1221;1423;1479;1519;2;1;73201
73;258;293;220;221;178;2;2;73202
73;40;56;14;;11;2;3;73203
73;42;;;;2;2;4;73204
73;1565;1514;1643;1700;1697;3;1;73301
73;40;56;14;;11;3;2;73302
73;42;;;;2;3;3;73303
74;1522;1377;1688;1782;1847;0;0;74000
74;35;;;;;1;3;74103
74;71;74;80;85;79;1;4;74104
74;1330;1246;1552;1644;1714;1;5;74105
74;23;23;;21;;1;7;74107
74;48;23;39;19;35;1;9;74109
74;15;11;17;13;19;1;10;74110
74;1482;1356;1672;1750;1829;2;1;74201
74;17;9;16;11;5;2;2;74202
74;12;5;;21;13;2;3;74203
74;11;7;;;;2;4;74204
74;1499;1365;1688;1761;1834;3;1;74301
74;12;5;;21;13;3;2;74302
74;11;7;;;;3;3;74303
75;2670;2240;2661;2879;3274;0;0;75000
75;83;47;67;75;78;1;1;75101
75;35;28;28;23;24;1;2;75102
75;283;206;203;159;101;1;3;75103
75;2096;1814;2059;2261;2626;1;5;75105
75;21;37;103;177;181;1;7;75107
75;;;46;25;23;1;8;75108
75;127;87;130;115;198;1;9;75109
75;25;21;25;44;43;1;10;75110
75;2415;2020;2453;2638;3039;2;1;75201
75;255;220;208;222;207;2;2;75202
75;;;;19;28;2;3;75203
75;2670;2240;2661;2860;3246;3;1;75301
75;;;;19;28;3;2;75302
76;2160;2236;2560;2761;2613;0;0;76000
76;105;113;141;148;140;1;1;76101
76;91;89;86;87;80;1;2;76102
76;1758;1807;2060;2129;2063;1;5;76105
76;6;7;41;41;74;1;6;76106
76;13;19;9;24;17;1;8;76108
76;126;166;167;260;166;1;9;76109
76;61;35;56;72;73;1;10;76110
76;2160;2236;2555;2737;2607;2;1;76201
76;;;5;24;6;2;3;76203
76;2160;2236;2555;2737;2607;3;1;76301
76;;;5;24;6;3;2;76302
77;1192;1040;1176;1190;1248;0;0;77000
77;469;403;335;334;277;1;2;77102
77;55;51;44;51;72;1;3;77103
77;589;553;742;749;869;1;5;77105
77;27;;;24;;1;7;77107
77;47;32;50;30;27;1;9;77109
77;5;1;5;2;3;1;10;77110
77;695;638;817;878;983;2;1;77201
77;429;324;328;299;256;2;2;77202
77;68;78;31;13;9;2;5;77205
77;1192;1040;1176;1190;1248;3;1;77301
78;2598;2455;2727;2818;2990;0;0;78000
78;;;;;56;1;1;78101
78;72;84;109;99;69;1;2;78102
78;30;22;24;38;38;1;4;78104
78;2024;1983;2257;2349;2535;1;5;78105
78;18;8;15;22;38;1;6;78106
78;151;119;108;108;64;1;7;78107
78;249;184;153;143;138;1;9;78109
78;54;55;61;59;52;1;10;78110
78;2432;2377;2624;2723;2878;2;1;78201
78;135;78;80;70;57;2;2;78202
78;31;;23;;42;2;3;78203
78;;;;25;13;2;4;78204
78;2538;2432;2688;2793;2935;3;1;78301
78;60;23;39;;42;3;2;78302
78;;;;25;13;3;3;78303
79;1846;1640;1950;2061;2182;0;0;79000
79;845;649;768;819;867;1;2;79102
79;;;1;;13;1;3;79103
79;926;966;1153;1228;1257;1;5;79105
79;28;11;;;;1;7;79107
79;36;;1;;30;1;8;79108
79;7;12;25;10;10;1;9;79109
79;4;2;2;4;5;1;10;79110
79;1243;1273;1510;1622;1828;2;1;79201
79;575;356;440;439;354;2;2;79202
79;28;11;;;;2;3;79203
79;1818;1629;1950;2061;2182;3;1;79301
79;28;11;;;;3;2;79302
80;1993;1925;2136;2128;2437;0;0;80000
80;85;96;66;48;71;1;3;80103
80;1881;1812;1969;1998;2315;1;5;80105
80;17;3;87;67;38;1;9;80109
80;10;14;14;15;13;1;10;80110
80;1833;1755;1999;2044;2306;2;1;80201
80;155;170;134;84;128;2;2;80202
80;5;;3;;3;2;5;80205
80;1993;1925;2136;2128;2437;3;1;80301
81;1863;1715;2068;2144;2340;0;0;81000
81;950;849;954;940;1061;1;2;81102
81;880;862;1094;1186;1261;1;5;81105
81;33;4;20;6;15;1;9;81109
81;;;;12;3;1;10;81110
81;897;866;1108;1204;1277;2;1;81201
81;954;849;957;940;1063;2;2;81202
81;12;;3;;;2;3;81203
81;1851;1715;2065;2144;2340;3;1;81301
81;12;;3;;;3;2;81302
82;798;675;1032;957;1256;0;0;82000
82;712;581;798;788;1032;1;5;82105
82;;26;133;95;111;1;7;82107
82;78;64;96;71;105;1;9;82109
82;8;4;5;3;8;1;10;82110
82;720;584;810;801;1042;2;1;82201
82;78;43;48;35;37;2;2;82202
82;;48;55;30;56;2;3;82203
82;;;119;91;121;2;4;82204
82;798;627;858;836;1079;3;1;82301
82;;48;55;30;56;3;2;82302
82;;;119;91;121;3;3;82303
83;1699;1573;1931;1772;1786;0;0;83000
83;130;201;358;346;435;1;2;83102
83;72;67;85;64;41;1;3;83103
83;36;41;42;36;32;1;4;83104
83;1294;1058;1276;1156;1150;1;5;83105
83;;3;2;;;1;7;83107
83;42;31;;11;;1;8;83108
83;120;169;143;140;105;1;9;83109
83;5;3;25;19;23;1;10;83110
83;1611;1317;1588;1389;1337;2;1;83201
83;88;176;312;303;361;2;2;83202
83;;80;31;62;63;2;3;83203
83;;;;18;25;2;4;83204
83;1699;1493;1900;1692;1698;3;1;83301
83;;80;31;62;63;3;2;83302
83;;;;18;25;3;3;83303
84;2048;2309;2711;2816;3282;0;0;84000
84;770;940;924;699;764;1;2;84102
84;47;30;25;;;1;3;84103
84;1199;1305;1733;2073;2409;1;5;84105
84;24;27;23;34;98;1;9;84109
84;8;7;6;10;11;1;10;84110
84;1784;2069;2503;2695;3179;2;1;84201
84;264;240;208;121;103;2;2;84202
84;2048;2309;2711;2816;3282;3;1;84301
85;1794;1707;1912;1852;2242;0;0;85000
85;18;5;11;8;18;1;1;85101
85;13;14;19;11;15;1;2;85102
85;1601;1437;1638;1686;2038;1;5;85105
85;94;160;119;43;52;1;7;85107
85;20;24;28;28;18;1;8;85108
85;45;64;90;66;83;1;9;85109
85;3;3;7;10;18;1;10;85110
85;1584;1463;1685;1725;2097;2;1;85201
85;83;44;97;56;39;2;2;85202
85;88;154;90;71;106;2;3;85203
85;39;46;40;;;2;4;85204
85;1667;1507;1782;1781;2136;3;1;85301
85;88;154;90;71;106;3;2;85302
85;39;46;40;;;3;3;85303
86;15792;13987;13543;24086;19875;0;0;86000
86;860;821;805;912;946;1;1;86101
86;554;551;651;685;720;1;4;86104
86;4655;4651;5038;5183;5070;1;5;86105
86;18;53;40;200;234;1;6;86106
86;8134;6418;5543;15323;11011;1;7;86107
86;18;16;21;25;65;1;8;86108
86;1324;1278;1236;1510;1551;1;9;86109
86;229;199;209;248;278;1;10;86110
86;8570;7985;8519;9383;8934;2;1;86201
86;4401;3455;3088;3360;2986;2;2;86202
86;1197;1306;878;1202;986;2;3;86203
86;1606;1224;1046;10129;6945;2;4;86204
86;18;17;12;12;24;2;5;86205
86;12989;11457;11619;12755;11944;3;1;86301
86;1197;1306;878;1202;986;3;2;86302
86;1606;1224;1046;10129;6945;3;3;86303
87;5061;5190;5291;5494;5428;0;0;87000
87;181;185;178;173;219;1;1;87101
87;42;36;36;48;35;1;4;87104
87;4264;4229;4428;4573;4569;1;5;87105
87;2;106;143;134;156;1;6;87106
87;4;127;11;30;59;1;7;87107
87;505;448;418;399;304;1;9;87109
87;63;59;77;137;86;1;10;87110
87;4888;4954;5163;5319;5273;2;1;87201
87;169;203;112;115;93;2;2;87202
87;;23;6;35;46;2;3;87203
87;4;;10;15;16;2;4;87204
87;;10;;10;;2;5;87205
87;5032;5153;5275;5444;5358;3;1;87301
87;25;37;6;35;54;3;2;87302
87;4;;10;15;16;3;3;87303
88;4950;4890;4845;4884;5198;0;0;88000
88;319;283;315;283;340;1;1;88101
88;1364;1640;1457;1404;1456;1;2;88102
88;6;;;;;1;3;88103
88;96;68;105;101;94;1;4;88104
88;2670;2567;2595;2696;2789;1;5;88105
88;231;135;142;182;242;1;7;88107
88;226;172;191;178;222;1;9;88109
88;38;25;40;40;55;1;10;88110
88;4797;4754;4698;4744;4983;2;1;88201
88;21;;4;4;5;2;2;88202
88;;;44;48;;2;3;88203
88;;2;2;41;159;2;4;88204
88;132;134;97;47;51;2;5;88205
88;4950;4888;4799;4795;5039;3;1;88301
88;;;44;48;;3;2;88302
88;;2;2;41;159;3;3;88303
89;3565;3653;4085;4350;4967;0;0;89000
89;32;37;31;87;138;1;1;89101
89;65;;;;285;1;3;89103
89;181;222;236;233;286;1;4;89104
89;2777;3006;3252;3565;3565;1;5;89105
89;;;;;116;1;7;89107
89;12;5;7;4;19;1;8;89108
89;422;323;446;348;414;1;9;89109
89;76;60;113;113;144;1;10;89110
89;3399;3446;3827;4053;4533;2;1;89201
89;166;169;240;227;267;2;2;89202
89;;38;18;70;137;2;3;89203
89;;;;;30;2;4;89204
89;3535;3615;4046;4280;4772;3;1;89301
89;30;38;39;70;165;3;2;89302
89;;;;;30;3;3;89303
90;3777;3483;3784;4057;4141;0;0;90000
90;57;51;53;17;45;1;1;90101
90;124;116;117;72;92;1;2;90102
90;14;;;;;1;3;90103
90;39;31;38;46;43;1;4;90104
90;3221;3004;3180;3539;3535;1;5;90105
90;4;4;38;39;38;1;6;90106
90;83;47;109;102;39;1;7;90107
90;;2;3;2;;1;8;90108
90;181;185;206;204;307;1;9;90109
90;54;43;40;36;42;1;10;90110
90;3637;3296;3541;3805;3871;2;1;90201
90;110;121;106;82;103;2;2;90202
90;13;42;62;75;143;2;3;90203
90;8;15;64;94;20;2;4;90204
90;9;9;11;1;4;2;5;90205
90;3739;3413;3633;3877;3953;3;1;90301
90;30;55;87;86;168;3;2;90302
90;8;15;64;94;20;3;3;90303
91;2207;2353;2911;2893;3016;0;0;91000
91;14;19;36;36;45;1;1;91101
91;6;8;15;11;18;1;3;91103
91;35;22;29;32;39;1;4;91104
91;1875;2032;2464;2474;2552;1;5;91105
91;16;;28;32;44;1;6;91106
91;112;77;114;118;106;1;7;91107
91;139;172;192;159;181;1;9;91109
91;10;23;33;31;31;1;10;91110
91;2048;2214;2617;2651;2780;2;1;91201
91;;6;10;12;7;2;2;91202
91;;15;82;122;90;2;3;91203
91;;20;69;16;49;2;4;91204
91;159;98;133;92;90;2;5;91205
91;2207;2318;2760;2755;2877;3;1;91301
91;;15;82;122;90;3;2;91302
91;;20;69;16;49;3;3;91303
92;2491;2578;2761;3340;3352;0;0;92000
92;;43;41;44;47;1;1;92101
92;140;53;76;100;127;1;3;92103
92;2234;2322;2503;2769;2958;1;5;92105
92;44;15;10;241;56;1;7;92107
92;;;17;45;26;1;8;92108
92;63;130;99;113;109;1;9;92109
92;10;15;15;28;29;1;10;92110
92;2283;2486;2645;2957;3125;2;1;92201
