cat_periodo;tipo_inst_3;cod_inst;nomb_inst;rector_inst;estado
2025;Centros de Formación Técnica;214;CFT INSTITUTO CENTRAL DE CAPACITACION EDUCACIONAL ICCE;JUAN JAÑA LAGOS;Vigente con matrícula
2025;Centros de Formación Técnica;241;CFT INSTITUTO SUPERIOR ALEMAN DE COMERCIO INSALCO;GORDAN NIKOLIC;Vigente con matrícula
2025;Centros de Formación Técnica;328;CFT INSTITUTO SUPERIOR DE ESTUDIOS JURIDICOS CANON;CARLOS ZAVALA GODOY;Vigente con matrícula
2025;Centros de Formación Técnica;331;CFT IPROSEC;CLAUDIA ROMERO FUENTEALBA;Vigente con matrícula
2025;Centros de Formación Técnica;257;CFT JUAN BOHON;GLORIA ITURRA MARDONES;Vigente con matrícula
2025;Centros de Formación Técnica;427;CFT LAPLACE;CECILIA TAPIA CASTRO;Vigente con matrícula
2023;Centros de Formación Técnica;280;CFT LOS LAGOS;SIN RECTOR;Sin matrícula desde 2023
2025;Centros de Formación Técnica;450;CFT LOTA-ARAUCO;CRISTIAN PATRICIO PÉREZ VERGARA;Vigente con matrícula
2025;Centros de Formación Técnica;701;CFT MANPOWER;CARLA ACEITUNO CARRASCO;Vigente con matrícula
2023;Centros de Formación Técnica;273;CFT MASSACHUSETTS;SIN RECTOR;Sin matrícula desde 2023
2025;Centros de Formación Técnica;319;CFT PRODATA;CARLOS AEDO MORALES;Vigente con matrícula
2025;Centros de Formación Técnica;691;CFT PROFASOC;HORTENSIA LEAL NEGRONI;Vigente con matrícula
2025;Centros de Formación Técnica;629;CFT PUCV;PAULO SOLARI ALLIENDE;Vigente con matrícula
2025;Centros de Formación Técnica;367;CFT SAN AGUSTIN;SERGIO MORALES DÍAZ;Vigente con matrícula
2025;Centros de Formación Técnica;260;CFT SANTO TOMAS;JUAN PABLO GUZMÁN ALDUNATE;Vigente con matrícula
2025;Centros de Formación Técnica;633;CFT TEODORO WICKEL KLUWEN;LUIS MARCELO NÚÑEZ IRIBARREN ;Vigente con matrícula
2025;Institutos Profesionales;99;IP AGRARIO ADOLFO MATTHEI;INGRID ELIZABETH LUNA FARFÁN;Vigente con matrícula
2025;Institutos Profesionales;143;IP AIEP;FERNANDO MARTÍNEZ SANTANA;Vigente con matrícula
2025;Institutos Profesionales;144;IP ARCOS;JOSÉ SANFUENTES PALMA;Vigente con matrícula
2025;Institutos Profesionales;108;IP CHILENO BRITANICO DE CULTURA;JORGE MESÍAS GONZÁLEZ;Vigente con matrícula
2025;Institutos Profesionales;951;IP CICERON;JOAQUÍN GÓMEZ MONTENEGRO;Vigente con matrícula
2021;Institutos Profesionales;743;IP DE ARTES ESCENICAS KAREN CONNOLLY;SIN RECTOR;Sin matrícula desde 2021
2025;Institutos Profesionales;123;IP DE CHILE;ANAMARI MARTÍNEZ ORTEGUI;Vigente con matrícula
2024;Institutos Profesionales;170;IP DE CIENCIAS DE LA COMPUTACION ACUARIO DATA;SIN RECTOR;Sin matrícula desde 2024
2025;Institutos Profesionales;176;IP DEL VALLE CENTRAL;BERNARDINO SÁNCHEZ;Vigente con matrícula
2025;Institutos Profesionales;120;IP DIEGO PORTALES;LUIS BELTRÁN TRONCOSO;Vigente con matrícula
2025;Institutos Profesionales;139;IP DR. VIRGINIO GOMEZ G.;ADELIO MATAMALA VÁSQUEZ;Vigente con matrícula
2025;Institutos Profesionales;111;IP DUOC UC;CARLOS DÍAZ VERGARA;Vigente con matrícula
2025;Institutos Profesionales;137;IP EATRI;HUMBERTO RODRIGO GAETE BASCOUR;Vigente con matrícula
2024;Institutos Profesionales;714;IP ESCUELA DE CINE DE CHILE;SIN RECTOR;Sin matrícula desde 2024
2025;Institutos Profesionales;171;IP ESCUELA DE COMERCIO DE SANTIAGO;FERNANDO MARTÍNEZ SANTANA;Vigente con matrícula
2025;Institutos Profesionales;104;IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO;RODRIGO CERÓN PRANDI;Vigente con matrícula
2025;Institutos Profesionales;754;IP ESCUELA DE MARINA MERCANTE PILOTO PARDO;GUILLERMO VARGAS ORELLANA;Vigente con matrícula
2025;Institutos Profesionales;129;IP ESCUELA MODERNA DE MUSICA;VIVIEN WURMAN SCHAPIRO;Vigente con matrícula
2024;Institutos Profesionales;132;IP ESUCOMEX;SIN RECTOR;Sin matrícula desde 2024
2025;Institutos Profesionales;117;IP IACC;ÁLVARO FUENZALIDA;Vigente con matrícula
2025;Institutos Profesionales;100;IP INACAP;LUIS EDUARDO PRIETO;Vigente con matrícula
2025;Institutos Profesionales;103;IP INSTITUTO DE ESTUDIOS BANCARIOS GUILLERMO SUBERCASEAUX;LUCÍA PARDO VÁSQUEZ;Vigente con matrícula
2025;Institutos Profesionales;676;IP INSTITUTO INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS;MARÍA TRINIDAD RIESCO EYZAGUIRRE;Vigente con matrícula
2025;Institutos Profesionales;193;IP INSTITUTO NACIONAL DEL FUTBOL;MARTÍN MIHOVILOVICH CONTRERAS;Vigente con matrícula
2025;Institutos Profesionales;113;IP IPG;RICARDO SOBARZO ZAMBRANO;Vigente con matrícula
2025;Institutos Profesionales;152;IP LATINOAMERICANO DE COMERCIO EXTERIOR - IPLACEX;ROBERTO BARRIGA TAPIA;Vigente con matrícula
2025;Institutos Profesionales;101;IP LIBERTADOR DE LOS ANDES;ISKANDER PORRA ALMEIDA;Vigente con matrícula
2023;Institutos Profesionales;165;IP LOS LAGOS;SIN RECTOR;Sin matrícula desde 2023
2025;Institutos Profesionales;155;IP LOS LEONES;EMILIO GAUTIER CRUZ;Vigente con matrícula
2025;Institutos Profesionales;693;IP PROJAZZ;GEORGE ABUFHELE BUS;Vigente con matrícula
2025;Institutos Profesionales;106;IP PROVIDENCIA;LUIS EDUARDO HERNÁNDEZ SCHÄFER;Vigente con matrícula
2025;Institutos Profesionales;162;IP SAN SEBASTIAN;LEONEL VEGA ANDRADE;Vigente con matrícula
2025;Institutos Profesionales;116;IP SANTO TOMAS;JUAN PABLO GUZMÁN ALDUNATE;Vigente con matrícula
2021;Institutos Profesionales;767;IP VERTICAL;SIN RECTOR;Sin matrícula desde 2021
2025;Universidades Privadas CRUCH;86;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;JUAN CARLOS DE LA LLERA MARTÍN;Vigente con matrícula
2025;Universidades Privadas CRUCH;89;PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO;NELSÓN VÁSQUEZ LARA;Vigente con matrícula
2025;Universidades Privadas;11;UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO;ÁLVARO RAMIS OLIVOS;Vigente con matrícula
2025;Universidades Privadas;23;UNIVERSIDAD ADOLFO IBAÑEZ;FRANCISCO COVARRUBIAS PORZIO;Vigente con matrícula
2025;Universidades Privadas;38;UNIVERSIDAD ADVENTISTA DE CHILE;MAURICIO COMTE DONOSO;Vigente con matrícula
2025;Universidades Privadas CRUCH;69;UNIVERSIDAD ALBERTO HURTADO;EDUARDO SILVA ARÉVALO S.J.;Vigente con matrícula
2025;Universidades Privadas;20;UNIVERSIDAD ANDRES BELLO;JULIO CASTRO SEPÚLVEDA;Vigente con matrícula
2025;Universidades Estatales CRUCH;81;UNIVERSIDAD ARTURO PRAT;ALBERTO MARTÍNEZ QUEZADA;Vigente con matrícula
2025;Universidades Privadas CRUCH;90;UNIVERSIDAD AUSTRAL DE CHILE;EGON MONTECINOS MONTECINOS;Vigente con matrícula
2025;Universidades Privadas;31;UNIVERSIDAD AUTONOMA DE CHILE;TEODORO RIBERA NEUMANN;Vigente con matrícula
2025;Universidades Privadas;50;UNIVERSIDAD BERNARDO O'HIGGINS;CLAUDIO RUFF ESCOBAR;Vigente con matrícula
2025;Universidades Privadas;7;UNIVERSIDAD BOLIVARIANA;FRANCISCO CUESTA PANTOJA;Vigente con matrícula
2025;Universidades Privadas;42;UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ;GALVARINO JOFRÉ ARAYA;Vigente con matrícula
2025;Universidades Privadas CRUCH;93;UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION;CRISTHIAN RODRIGO MELLADO CID;Vigente con matrícula
2025;Universidades Privadas CRUCH;94;UNIVERSIDAD CATOLICA DE TEMUCO;MARCELA MOMBER ALARCÓN;Vigente con matrícula
2025;Universidades Privadas CRUCH;92;UNIVERSIDAD CATOLICA DEL MAULE;DIEGO PABLO DURÁN JARA;Vigente con matrícula
2025;Universidades Privadas CRUCH;91;UNIVERSIDAD CATOLICA DEL NORTE;RODRIGO ALDA VARAS ;Vigente con matrícula
2025;Universidades Privadas;4;UNIVERSIDAD CENTRAL DE CHILE;SANTIAGO GONZÁLEZ LARRAÍN;Vigente con matrícula
2021;Universidades Privadas;651;UNIVERSIDAD CHILENO BRITANICA DE CULTURA;SIN RECTOR;Sin matrícula desde 2021
2025;Universidades Privadas;46;UNIVERSIDAD DE ACONCAGUA;MARCELO HERRERA HUECHE;Vigente con matrícula
2025;Universidades Estatales CRUCH;73;UNIVERSIDAD DE ANTOFAGASTA;MARCOS CIKUTOVIC SALAS;Vigente con matrícula
2025;Universidades Privadas;26;UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC;CARLOS BARRÍA ROMÁN;Vigente con matrícula
2025;Universidades Estatales CRUCH;79;UNIVERSIDAD DE ATACAMA;CELSO ARIAS MORA;Vigente con matrícula
2025;Universidades Estatales CRUCH;896;UNIVERSIDAD DE AYSEN;JUAN PABLO PRIETO COX;Vigente con matrícula
2025;Universidades Estatales CRUCH;70;UNIVERSIDAD DE CHILE;ROSA DEVÉS ALESSANDRI;Vigente con matrícula
2025;Universidades Privadas CRUCH;87;UNIVERSIDAD DE CONCEPCION;CARLOS SAAVEDRA RUBILAR;Vigente con matrícula
2025;Universidades Estatales CRUCH;76;UNIVERSIDAD DE LA FRONTERA;EDUARDO HEBEL WEISS;Vigente con matrícula
2025;Universidades Estatales CRUCH;74;UNIVERSIDAD DE LA SERENA;LUPERFINA ROJAS ESCOBAR;Vigente con matrícula
2025;Universidades Privadas;19;UNIVERSIDAD DE LAS AMERICAS;MARÍA DEL PILAR ROMAGUERA GRACIA;Vigente con matrícula
2025;Universidades Privadas CRUCH;34;UNIVERSIDAD DE LOS ANDES;JOSÉ ANTONIO GUZMÁN CRUZAT;Vigente con matrícula
2025;Universidades Estatales CRUCH;84;UNIVERSIDAD DE LOS LAGOS;ÓSCAR GARRIDO ÁLVAREZ;Vigente con matrícula
2025;Universidades Estatales CRUCH;77;UNIVERSIDAD DE MAGALLANES;JOSÉ MARIPANI MARIPANI;Vigente con matrícula
2025;Universidades Estatales CRUCH;895;UNIVERSIDAD DE O'HIGGINS;FERNANDA KRI AMAR ;Vigente con matrícula
2025;Universidades Estatales CRUCH;83;UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;CARLOS GONZÁLEZ MORALES;Vigente con matrícula
2025;Universidades Estatales CRUCH;71;UNIVERSIDAD DE SANTIAGO DE CHILE;RODRIGO VIDAL ROJAS;Vigente con matrícula
2025;Universidades Estatales CRUCH;78;UNIVERSIDAD DE TALCA;CARLOS TORRES FUCHSLOCHER;Vigente con matrícula
2025;Universidades Estatales CRUCH;80;UNIVERSIDAD DE TARAPACA;EMILIO RODRÍGUEZ PONCE;Vigente con matrícula
2025;Universidades Estatales CRUCH;72;UNIVERSIDAD DE VALPARAISO;OSVALDO CORRALES JORQUERA;Vigente con matrícula
2025;Universidades Privadas;22;UNIVERSIDAD DE VIÑA DEL MAR;CARLOS ISAAC PÁLYI;Vigente con matrícula
2025;Universidades Privadas;9;UNIVERSIDAD DEL ALBA;RAFAEL ROSELL AIQUEL;Vigente con matrícula
2025;Universidades Estatales CRUCH;75;UNIVERSIDAD DEL BIO-BIO;BENITO UMAÑA HERMOSILLA;Vigente con matrícula
2025;Universidades Privadas;45;UNIVERSIDAD DEL DESARROLLO;FEDERICO VALDÉS LAFONTAINE;Vigente con matrícula
2025;Universidades Privadas CRUCH;3;UNIVERSIDAD DIEGO PORTALES;CARLOS PEÑA GONZÁLEZ;Vigente con matrícula
2025;Universidades Privadas;2;UNIVERSIDAD FINIS TERRAE;JUAN EDUARDO VARGAS;Vigente con matrícula
2025;Universidades Privadas;1;UNIVERSIDAD GABRIELA MISTRAL;SERGIO MENA JARA;Vigente con matrícula
2025;Universidades Privadas;16;UNIVERSIDAD LA REPUBLICA;FERNANDO LAGOS BASUALTO;Vigente con matrícula
2024;Universidades Privadas;48;UNIVERSIDAD LOS LEONES;SIN RECTOR;Sin matrícula desde 2024
2025;Universidades Privadas;10;UNIVERSIDAD MAYOR;PATRICIO A. MANQUE;Vigente con matrícula
2025;Universidades Estatales CRUCH;82;UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION;ELISA ARAYA CORTEZ;Vigente con matrícula
2025;Universidades Privadas;68;UNIVERSIDAD MIGUEL DE CERVANTES;GUTENBERG MARTÍNEZ OCAMICA;Vigente con matrícula
2025;Universidades Privadas;39;UNIVERSIDAD SAN SEBASTIAN;HUGO LAVADOS MONTES;Vigente con matrícula
2025;Universidades Privadas;13;UNIVERSIDAD SANTO TOMAS;CLAUDIA PEIRANO RODRÍGUEZ;Vigente con matrícula
2025;Universidades Privadas;17;UNIVERSIDAD SEK;EVA FLANDES A.;Vigente con matrícula
2025;Universidades Privadas CRUCH;88;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA;JUAN IGNACIO YUZ EISSMANN;Vigente con matrícula
2025;Universidades Privadas;54;UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;LUIS EDUARDO PRIETO FERNÁNDEZ;Vigente con matrícula
2025;Universidades Estatales CRUCH;85;UNIVERSIDAD TECNOLOGICA METROPOLITANA;MARISOL DURÁN SANTIS;Vigente con matrícula
