cod_inst;vacantes2021;vacantes2022;vacantes2023;vacantes2024;vacantes2025;categoria;desagregacion;cod_tab
7;0;0;150;1000;0;3;1;7301
7;0;0;0;0;;3;2;7302
9;3435;3715;3333;3809;3236;0;0;9000
9;;80;0;0;0;1;4;9104
9;2210;2315;2677;2602;2510;1;5;9105
9;1050;1125;551;1152;566;1;7;9107
9;175;195;105;55;160;1;9;9109
9;2370;2255;1806;1716;1702;2;1;9201
9;735;795;656;596;468;2;2;9202
9;150;150;115;236;75;2;3;9203
9;180;515;756;1261;991;2;4;9204
9;180;515;756;1261;991;3;0;9300
9;3105;3050;2462;2312;2170;3;1;9301
9;150;150;115;236;75;3;2;9302
10;9445;9301;9578;9927;12610;0;0;10000
10;130;150;130;130;130;1;1;10101
10;;405;645;840;1500;1;2;10102
10;140;0;0;0;0;1;3;10103
10;5437;5255;5217;5316;7002;1;5;10105
10;129;148;146;107;115;1;6;10106
10;1864;1573;1665;2381;2639;1;7;10107
10;152;95;190;120;215;1;8;10108
10;1560;1642;1537;975;965;1;9;10109
10;33;33;48;58;44;1;10;10110
10;3202;3273;3302;3311;3434;2;1;10201
10;784;448;207;200;205;2;2;10202
10;684;847;1111;1632;2020;2;3;10203
10;2697;2922;3706;4387;6808;2;4;10204
10;2078;1811;1252;397;143;2;5;10205
10;2697;2922;3706;4387;6808;3;0;10300
10;6034;5502;4731;3908;3782;3;1;10301
10;714;877;1141;1632;2020;3;2;10302
11;2249;3129;2690;2562;1872;0;0;11000
11;;;45;30;0;1;2;11102
11;0;0;0;0;0;1;3;11103
11;125;155;200;140;66;1;4;11104
11;1304;1834;1425;1411;1202;1;5;11105
11;540;810;810;810;470;1;7;11107
11;100;150;30;30;;1;8;11108
11;140;150;150;125;120;1;9;11109
11;40;30;30;16;14;1;10;11110
11;1184;1279;950;946;797;2;1;11201
11;1065;1700;780;756;470;2;2;11202
11;;150;240;140;215;2;3;11203
11;;;720;720;390;2;4;11204
11;;;720;720;390;3;0;11300
11;2229;2979;1730;1677;1267;3;1;11301
11;20;150;240;165;215;3;2;11302
13;29854;22258;15903;13099;9528;0;0;13000
13;70;60;50;0;0;1;1;13101
13;470;400;350;335;410;1;4;13104
13;5794;5937;5737;6092;6426;1;5;13105
13;17760;14430;8540;5350;2161;1;7;13107
13;300;105;240;80;160;1;8;13108
13;5400;1318;960;1210;357;1;9;13109
13;60;8;26;32;14;1;10;13110
13;4757;4762;5047;5482;5731;2;1;13201
13;22517;10306;2166;1087;446;2;2;13202
13;1860;665;1440;2120;1240;2;3;13203
13;720;6525;7250;4410;2111;2;4;13204
13;720;6525;7250;4410;2111;3;0;13300
13;27274;15068;7213;6569;6177;3;1;13301
13;1860;665;1440;2120;1240;3;2;13302
16;2550;2550;4090;2085;0;0;0;16000
16;300;300;465;300;0;1;2;16102
16;175;175;150;0;0;1;3;16103
16;0;0;120;0;0;1;4;16104
16;1975;1975;3120;1160;0;1;5;16105
16;50;50;135;400;0;1;7;16107
16;0;0;0;;;1;8;16108
16;50;50;100;225;0;1;9;16109
16;;;0;0;0;1;10;16110
16;575;575;1285;650;0;2;1;16201
16;1775;1775;2420;810;0;2;2;16202
16;100;100;130;350;0;2;3;16203
16;100;100;255;275;0;2;4;16204
16;100;100;255;275;0;3;0;16300
16;2350;2350;3705;1460;0;3;1;16301
16;100;100;130;350;0;3;2;16302
17;2881;2905;2800;2125;2065;0;0;17000
17;840;420;360;150;90;1;2;17102
17;280;480;480;265;265;1;4;17104
17;1465;1785;1785;1595;1595;1;5;17105
17;60;100;25;25;25;1;8;17108
17;230;120;150;90;90;1;9;17109
17;6;0;0;;;1;10;17110
17;315;365;365;365;370;2;1;17201
17;185;105;80;85;85;2;2;17202
17;731;540;300;125;130;2;3;17203
17;1515;1845;2005;1550;1480;2;4;17204
17;135;50;50;0;0;2;5;17205
17;1515;1845;2005;1550;1480;3;0;17300
17;420;420;395;400;405;3;1;17301
17;946;640;400;175;180;3;2;17302
19;11123;11385;11860;14010;13649;0;0;19000
19;1500;1545;1720;1332;1102;1;2;19102
19;45;0;0;0;0;1;4;19104
19;7058;7695;8140;8718;9817;1;5;19105
19;2310;1830;1740;3720;2370;1;7;19107
19;60;120;60;60;60;1;8;19108
19;150;195;200;180;300;1;9;19109
19;4703;4400;5260;5414;6067;2;1;19201
19;2790;1520;1110;492;410;2;2;19202
19;30;600;1510;2144;2292;2;3;19203
19;1770;3465;3980;5960;4880;2;4;19204
19;1830;1400;0;0;0;2;5;19205
19;1770;3465;3980;5960;4880;3;0;19300
19;9323;7320;6370;5906;6477;3;1;19301
19;30;600;1510;2144;2292;3;2;19302
20;28085;29815;31141;38821;44032;0;0;20000
20;590;590;590;620;690;1;1;20101
20;285;618;690;750;900;1;4;20104
20;14927;16370;18917;20796;23238;1;5;20105
20;167;127;163;164;182;1;6;20106
20;4987;6055;5108;10584;12193;1;7;20107
20;129;135;265;70;300;1;8;20108
20;6910;5843;5315;5722;6419;1;9;20109
20;90;77;93;115;110;1;10;20110
20;13148;12669;13741;15963;16879;2;1;20201
20;5507;5885;4483;2925;2511;2;2;20202
20;201;582;845;1679;2742;2;3;20203
20;9229;10679;12072;18254;21900;2;4;20204
20;0;0;;;;2;5;20205
20;9229;10679;12072;18254;21900;3;0;20300
20;18604;18529;18184;18828;19330;3;1;20301
20;252;607;885;1739;2802;3;2;20302
22;2809;2887;2789;3342;3893;0;0;22000
22;0;0;0;0;0;1;3;22103
22;110;170;195;195;160;1;4;22104
22;2191;2260;2165;2620;3150;1;5;22105
22;;;;77;137;1;7;22107
22;508;457;429;450;446;1;9;22109
22;1453;1510;1450;1525;1400;2;1;22201
22;750;710;465;480;279;2;2;22202
22;192;227;160;219;347;2;3;22203
22;414;440;714;1118;1867;2;4;22204
22;414;440;714;1118;1867;3;0;22300
22;1653;1750;1635;1710;1480;3;1;22301
22;742;697;440;514;546;3;2;22302
23;5650;5578;6401;6406;23048;0;0;23000
23;1320;1390;1319;1225;1230;1;1;23101
23;0;;;;;1;4;23104
23;455;350;406;590;735;1;5;23105
23;1416;1330;1558;1483;13750;1;7;23107
23;2415;2464;3053;3043;7270;1;9;23109
23;44;44;65;65;63;1;10;23110
23;5250;5007;5562;5519;8621;2;1;23201
23;210;230;259;178;45;2;2;23202
23;;100;105;133;1332;2;3;23203
23;;73;295;546;13050;2;4;23204
23;190;168;180;30;0;2;5;23205
23;;73;295;546;13050;3;0;23300
23;5650;5405;6001;5727;8666;3;1;23301
23;;100;105;133;1332;3;2;23302
26;2567;3401;4483;4423;3943;0;0;26000
26;115;115;115;115;115;1;4;26104
26;2205;2770;2770;2770;2770;1;5;26105
26;43;133;960;900;720;1;7;26107
26;10;45;300;300;;1;8;26108
26;194;338;338;338;338;1;9;26109
26;860;1150;1150;1150;1110;2;1;26201
26;185;200;260;200;185;2;2;26202
26;524;628;840;685;625;2;3;26203
26;998;1423;2233;2388;2023;2;4;26204
26;998;1423;2233;2388;2023;3;0;26300
26;1045;1350;1410;1350;1295;3;1;26301
26;524;628;840;685;625;3;2;26302
31;8064;11807;16150;16838;35392;0;0;31000
31;0;0;100;0;0;1;2;31102
31;;900;300;450;300;1;3;31103
31;40;40;40;35;35;1;4;31104
31;6173;6930;6230;7093;7085;1;5;31105
31;90;147;440;134;136;1;6;31106
31;1207;3290;6920;8306;26451;1;7;31107
31;534;475;2100;800;1365;1;9;31109
31;20;25;20;20;20;1;10;31110
31;6242;5872;7305;5572;5902;2;1;31201
31;1140;1325;1905;1898;1335;2;2;31202
31;232;2020;160;180;630;2;3;31203
31;450;2590;6780;9188;27525;2;4;31204
31;450;2590;6780;9188;27525;3;0;31300
31;7352;7137;9110;7445;7137;3;1;31301
31;262;2080;260;205;730;3;2;31302
34;9062;1836;6584;8824;9268;0;0;34000
34;595;591;643;650;623;1;1;34101
34;32;44;100;105;120;1;4;34104
34;871;884;1015;1056;1087;1;5;34105
34;165;30;175;185;204;1;6;34106
34;6520;193;3459;5632;5835;1;7;34107
34;274;33;252;165;202;1;8;34108
34;572;49;884;990;1146;1;9;34109
34;33;12;56;41;51;1;10;34110
34;3214;1685;3379;3679;3900;2;1;34201
34;556;30;506;402;475;2;2;34202
34;3957;88;1404;2815;2949;2;3;34203
34;1335;33;1295;1928;1944;2;4;34204
34;1335;33;1295;1928;1944;3;0;34300
34;3770;1715;3885;4081;4375;3;1;34301
34;3957;88;1404;2815;2949;3;2;34302
38;995;958;1165;1055;903;0;0;38000
38;30;30;30;40;25;1;2;38102
38;85;50;30;50;0;1;3;38103
38;120;60;120;100;40;1;4;38104
38;635;678;760;735;638;1;5;38105
38;;;20;;;1;7;38107
38;;40;80;40;140;1;8;38108
38;125;100;125;90;60;1;9;38109
38;720;743;845;775;663;2;1;38201
38;0;40;25;0;0;2;3;38203
38;275;175;295;280;240;2;4;38204
38;275;175;295;280;240;3;0;38300
38;720;743;845;775;663;3;1;38301
38;0;40;25;0;0;3;2;38302
39;14758;19903;23969;15599;19162;0;0;39000
39;510;780;780;460;740;1;1;39101
39;150;240;495;373;530;1;4;39104
39;7860;12011;13683;12757;14875;1;5;39105
39;137;238;174;291;117;1;6;39106
39;2601;3390;3345;541;1392;1;7;39107
39;118;489;579;70;184;1;8;39108
39;3347;2725;4867;1027;1274;1;9;39109
39;35;30;46;80;50;1;10;39110
39;8957;10732;11987;9472;11534;2;1;39201
39;2950;4647;4913;2426;1780;2;2;39202
39;256;705;902;635;1953;2;3;39203
39;457;1747;2832;2389;3552;2;4;39204
39;2138;2072;3335;677;343;2;5;39205
39;457;1747;2832;2389;3552;3;0;39300
39;13915;17181;20090;12575;13657;3;1;39301
39;386;975;1047;635;1953;3;2;39302
42;2279;2357;2084;1555;1840;0;0;42000
42;45;30;30;40;40;1;1;42101
42;0;0;0;0;0;1;3;42103
42;0;0;0;0;0;1;4;42104
42;1490;1450;1495;1515;1730;1;5;42105
42;265;370;240;0;0;1;7;42107
42;420;480;280;0;0;1;8;42108
42;54;22;34;0;60;1;9;42109
42;5;5;5;0;10;1;10;42110
42;1375;1285;1440;1555;1660;2;1;42201
42;824;937;519;0;170;2;2;42202
42;35;45;45;0;10;2;3;42203
42;45;90;80;0;0;2;4;42204
42;45;90;80;0;0;3;0;42300
42;2189;2222;1959;1555;1830;3;1;42301
42;45;45;45;0;10;3;2;42302
45;7166;11467;13766;14537;14829;0;0;45000
45;555;505;505;680;730;1;1;45101
45;45;45;45;45;0;1;3;45103
45;;;;45;50;1;4;45104
45;2780;2870;2920;3960;3980;1;5;45105
45;196;238;222;234;267;1;6;45106
45;2908;6938;9152;8747;9129;1;7;45107
45;62;93;76;86;78;1;8;45108
45;608;758;818;710;565;1;9;45109
45;12;20;28;30;30;1;10;45110
45;4884;4805;5178;5618;5595;2;1;45201
45;266;229;129;260;35;2;2;45202
45;736;1410;1841;1219;1721;2;3;45203
45;906;4625;6332;7278;7345;2;4;45204
45;374;398;286;162;133;2;5;45205
45;906;4625;6332;7278;7345;3;0;45300
45;5413;5321;5482;6025;5748;3;1;45301
45;847;1521;1952;1234;1736;3;2;45302
46;6434;6055;3420;2349;2310;0;0;46000
46;2145;2895;950;395;220;1;2;46102
46;20;20;25;25;25;1;3;46103
46;88;120;80;0;0;1;4;46104
46;1781;2700;2215;1779;1695;1;5;46105
46;1740;200;100;100;320;1;7;46107
46;660;120;50;50;50;1;9;46109
46;514;650;620;615;505;2;1;46201
46;670;830;575;620;430;2;2;46202
46;2895;2765;845;250;290;2;3;46203
46;2295;1810;1380;864;1085;2;4;46204
46;60;0;0;0;0;2;5;46205
46;2295;1810;1380;864;1085;3;0;46300
46;1244;1480;1195;1235;935;3;1;46301
46;2895;2765;845;250;290;3;2;46302
48;4190;0;0;0;;0;0;48000
48;510;0;0;;;1;4;48104
48;3680;0;0;0;;1;5;48105
48;0;;;;;1;9;48109
48;2965;0;0;0;;2;1;48201
48;1225;0;0;0;;2;2;48202
48;0;;;;;2;5;48205
48;4190;0;0;0;;3;1;48301
50;2848;6104;4737;3983;4333;0;0;50000
50;25;60;100;100;60;1;3;50103
50;375;196;420;420;460;1;4;50104
50;1280;1300;1363;1406;1536;1;5;50105
50;570;3660;2070;1830;1960;1;7;50107
50;587;877;772;215;305;1;9;50109
50;11;11;12;12;12;1;10;50110
50;1159;1199;1227;1300;1309;2;1;50201
50;449;1204;785;133;154;2;2;50202
50;100;705;440;60;330;2;3;50203
50;1140;2996;2285;2490;2540;2;4;50204
50;1140;2996;2285;2490;2540;3;0;50300
50;1608;2403;2012;1433;1463;3;1;50301
50;100;705;440;60;330;3;2;50302
54;630;870;1305;0;0;0;0;54000
54;0;0;0;0;0;1;2;54102
54;0;0;0;0;0;1;3;54103
54;630;870;1305;0;0;1;5;54105
54;0;0;;;;1;9;54109
54;0;0;315;0;0;2;1;54201
54;0;0;60;0;0;2;2;54202
54;630;870;930;0;0;2;4;54204
54;630;870;930;0;0;3;0;54300
54;0;0;375;0;0;3;1;54301
54;0;0;0;0;0;3;2;54302
68;3000;2995;2935;3675;3715;0;0;68000
68;70;120;80;80;80;1;4;68104
68;630;565;565;545;545;1;5;68105
68;1420;1420;1400;2210;2210;1;8;68108
68;880;890;890;840;880;1;9;68109
68;255;140;140;90;90;2;1;68201
68;445;465;425;875;875;2;2;68202
68;2300;2390;2370;2710;2750;2;4;68204
68;2300;2390;2370;2710;2750;3;0;68300
68;700;605;565;965;965;3;1;68301
69;5315;5196;4514;5652;4942;0;0;69000
69;185;175;175;165;175;1;1;69101
69;113;118;123;115;75;1;4;69104
69;1649;1750;1715;2255;2335;1;5;69105
69;2655;2334;1792;2420;1416;1;7;69107
69;270;285;200;205;195;1;8;69108
69;419;507;480;461;723;1;9;69109
69;24;27;29;31;23;1;10;69110
69;1764;1816;1779;1919;1866;2;1;69201
69;3162;2641;2063;2769;1809;2;2;69202
69;30;376;377;374;467;2;3;69203
69;343;363;295;590;800;2;4;69204
69;16;0;0;;;2;5;69205
69;343;363;295;590;800;3;0;69300
69;4942;4457;3842;4688;3675;3;1;69301
69;30;376;377;374;467;3;2;69302
70;5582;5965;6000;5526;16359;0;0;70000
70;1000;1093;1098;1075;1055;1;1;70101
70;576;587;603;578;593;1;4;70104
70;4006;4034;4043;3873;4045;1;5;70105
70;0;80;84;0;415;1;6;70106
70;;;;;7526;1;7;70107
70;0;16;15;0;90;1;8;70108
70;0;114;117;0;2420;1;9;70109
70;0;41;40;0;215;1;10;70110
70;5582;5896;5930;5526;7730;2;1;70201
70;0;62;62;0;1869;2;2;70202
70;;1;2;0;1866;2;3;70203
70;;;;;4829;2;4;70204
70;0;6;6;0;65;2;5;70205
70;;;;;4829;3;0;70300
70;5582;5964;5998;5526;9664;3;1;70301
70;;1;2;0;1866;3;2;70302
71;18106;22412;27523;29543;34590;0;0;71000
71;140;160;160;120;150;1;1;71101
71;200;195;185;85;95;1;2;71102
71;345;258;275;275;1221;1;3;71103
71;31;31;31;30;35;1;4;71104
71;6399;5441;5680;5058;6066;1;5;71105
71;182;202;205;205;201;1;6;71106
71;8968;13951;18609;20977;24796;1;7;71107
71;610;684;744;844;719;1;8;71108
71;1079;1320;1485;1775;1136;1;9;71109
71;152;170;149;174;171;1;10;71110
71;6870;7096;7000;6431;8457;2;1;71201
71;7184;6632;7203;7179;8713;2;2;71202
71;2312;3972;5034;5959;5872;2;3;71203
71;1220;4282;7856;9544;11193;2;4;71204
71;520;430;430;430;355;2;5;71205
71;1220;4282;7856;9544;11193;3;0;71300
71;14574;14158;14633;14040;17525;3;1;71301
71;2312;3972;5034;5959;5872;3;2;71302
72;5885;6469;6436;6257;5790;0;0;72000
72;;;;50;50;1;1;72101
72;61;30;80;80;60;1;3;72103
72;75;75;75;75;75;1;4;72104
72;3091;3172;3224;3062;3167;1;5;72105
72;234;193;192;212;183;1;6;72106
72;585;961;967;873;548;1;7;72107
72;1183;1368;1291;1394;1169;1;8;72108
72;569;593;531;462;490;1;9;72109
72;87;77;76;49;48;1;10;72110
72;4701;4731;4476;4172;4110;2;1;72201
72;732;681;534;522;432;2;2;72202
72;205;429;602;527;465;2;3;72203
72;235;616;824;1036;783;2;4;72204
72;12;12;;;;2;5;72205
72;235;616;824;1036;783;3;0;72300
72;5324;5320;4918;4641;4489;3;1;72301
72;326;533;694;580;518;3;2;72302
73;1749;2534;2217;1957;1923;0;0;73000
73;130;130;110;105;100;1;1;73101
73;0;515;495;322;172;1;2;73102
73;0;0;0;0;;1;3;73103
73;;15;15;15;15;1;4;73104
73;1042;1137;1132;1115;1160;1;5;73105
73;30;16;23;35;39;1;6;73106
73;367;617;347;257;335;1;7;73107
73;0;0;;;;1;8;73108
73;140;72;62;60;56;1;9;73109
73;40;32;33;48;46;1;10;73110
73;1357;1397;1360;1403;1410;2;1;73201
73;40;600;540;297;187;2;2;73202
73;197;187;187;142;181;2;3;73203
73;155;350;130;115;145;2;4;73204
73;155;350;130;115;145;3;0;73300
73;1382;1982;1885;1700;1582;3;1;73301
73;212;202;202;142;196;3;2;73302
74;2073;2090;2219;2224;2129;0;0;74000
74;60;0;0;0;0;1;3;74103
74;75;75;75;105;80;1;4;74104
74;1570;1630;1630;1665;1675;1;5;74105
74;222;237;303;247;198;1;7;74107
74;18;33;50;50;;1;8;74108
74;100;87;125;130;141;1;9;74109
74;28;28;36;27;35;1;10;74110
74;1918;1905;1966;1967;1923;2;1;74201
74;21;21;22;22;22;2;2;74202
74;52;67;63;47;66;2;3;74203
74;42;57;128;148;78;2;4;74204
74;40;40;40;40;40;2;5;74205
74;42;57;128;148;78;3;0;74300
74;1979;1966;2028;2029;1985;3;1;74301
74;52;67;63;47;66;3;2;74302
75;2641;3401;3370;3088;3630;0;0;75000
75;70;70;70;70;70;1;1;75101
75;0;120;60;60;60;1;2;75102
75;245;435;365;305;185;1;3;75103
75;1780;1945;2055;2175;2405;1;5;75105
75;195;312;302;140;300;1;7;75107
75;95;245;250;85;250;1;8;75108
75;210;228;221;189;286;1;9;75109
75;46;46;47;64;74;1;10;75110
75;2511;2727;2837;2638;3076;2;1;75201
75;129;644;503;393;478;2;2;75202
75;1;30;30;57;76;2;3;75203
75;2620;3351;3320;3031;3554;3;1;75301
75;21;50;50;57;76;3;2;75302
76;2640;2703;2467;2580;2517;0;0;76000
76;130;130;110;110;110;1;1;76101
76;100;100;100;100;100;1;2;76102
76;0;0;0;0;0;1;3;76103
76;0;0;0;0;0;1;4;76104
76;1838;1853;1688;1713;1717;1;5;76105
76;98;81;111;105;110;1;6;76106
76;47;36;34;53;51;1;8;76108
76;350;425;350;413;322;1;9;76109
76;77;78;74;86;107;1;10;76110
76;2625;2688;2439;2548;2467;2;1;76201
76;;;13;22;35;2;3;76203
76;15;15;15;10;15;2;4;76204
76;15;15;15;10;15;3;0;76300
76;2625;2688;2439;2548;2467;3;1;76301
76;;;13;22;35;3;2;76302
77;1644;1320;1307;1329;1318;0;0;77000
77;568;432;437;330;360;1;2;77102
77;100;90;95;137;120;1;3;77103
77;590;650;640;675;685;1;5;77105
77;182;45;15;90;40;1;7;77107
77;120;;;;;1;8;77108
77;74;95;112;89;105;1;9;77109
77;10;8;8;8;8;1;10;77110
77;680;743;749;797;841;2;1;77201
77;730;487;468;436;407;2;2;77202
77;12;15;;;;2;4;77204
77;222;75;90;96;70;2;5;77205
77;12;15;;;;3;0;77300
77;1632;1305;1307;1329;1318;3;1;77301
78;3488;3724;3634;3471;3514;0;0;78000
78;;;;;60;1;1;78101
78;115;145;145;145;140;1;2;78102
78;0;0;0;0;0;1;3;78103
78;30;30;20;15;15;1;4;78104
78;2150;2165;2045;2215;2415;1;5;78105
78;42;45;36;64;52;1;6;78106
78;613;801;922;486;351;1;7;78107
78;449;433;373;434;384;1;9;78109
78;89;105;93;112;97;1;10;78110
78;3130;3214;3064;3016;3079;2;1;78201
78;298;445;450;275;255;2;2;78202
78;30;30;90;100;130;2;3;78203
78;30;35;30;80;50;2;4;78204
78;30;35;30;80;50;3;0;78300
78;3350;3589;3444;3291;3334;3;1;78301
78;108;100;160;100;130;3;2;78302
79;2267;2370;2443;2453;2479;0;0;79000
79;765;750;720;720;880;1;2;79102
79;280;215;200;240;365;1;3;79103
79;885;1030;1030;1065;1065;1;5;79105
79;195;165;290;340;40;1;7;79107
79;42;0;40;40;30;1;8;79108
79;80;200;153;42;85;1;9;79109
79;20;10;10;6;14;1;10;79110
79;1310;1570;1458;1409;1669;2;1;79201
79;762;635;725;754;740;2;2;79202
79;45;40;40;40;57;2;3;79203
79;150;125;220;250;13;2;4;79204
79;150;125;220;250;13;3;0;79300
79;2072;2205;2183;2163;2409;3;1;79301
79;45;40;40;40;57;3;2;79302
80;2279;2145;2279;2120;2000;0;0;80000
80;0;0;0;0;0;1;1;80101
80;0;0;0;0;0;1;2;80102
80;100;140;140;140;70;1;3;80103
80;0;0;0;0;0;1;4;80104
80;1920;1820;1855;1697;1692;1;5;80105
80;;;45;111;43;1;7;80107
80;231;154;215;138;170;1;9;80109
80;28;31;24;34;25;1;10;80110
80;2023;1910;1924;1775;1759;2;1;80201
80;193;235;350;305;238;2;2;80202
80;;;;40;;2;3;80203
80;25;;;;;2;4;80204
80;38;0;5;0;3;2;5;80205
80;25;;;;;3;0;80300
80;2229;2120;2279;2054;1974;3;1;80301
80;25;25;;66;26;3;2;80302
81;3969;3581;3635;3537;3872;0;0;81000
81;1360;1285;1166;1123;1122;1;2;81102
81;940;980;1015;945;942;1;3;81103
81;0;0;0;0;;1;4;81104
81;1319;1310;1415;1416;1566;1;5;81105
81;0;0;0;30;;1;7;81107
81;0;0;0;0;;1;8;81108
81;350;6;39;11;234;1;9;81109
81;;0;0;12;8;1;10;81110
81;1344;996;916;969;1008;2;1;81201
81;2575;2585;2609;2518;2514;2;2;81202
81;50;0;10;0;0;2;3;81203
81;0;0;100;50;350;2;4;81204
81;0;0;100;50;350;3;0;81300
81;3869;3581;3525;3487;3522;3;1;81301
81;100;0;10;0;0;3;2;81302
82;1218;1407;1965;2120;2171;0;0;82000
82;1155;1155;1105;1145;1340;1;5;82105
82;4;145;700;780;660;1;7;82107
82;;25;50;90;30;1;8;82108
82;55;74;106;101;132;1;9;82109
82;4;8;4;4;9;1;10;82110
82;1162;1162;1079;1085;1300;2;1;82201
82;56;71;52;34;79;2;2;82202
82;;74;284;300;220;2;3;82203
82;;100;550;701;572;2;4;82204
82;;100;550;701;572;3;0;82300
82;1218;1233;1131;1119;1379;3;1;82301
82;0;74;284;300;220;3;2;82302
83;2410;2701;2528;2687;2485;0;0;83000
83;210;325;440;625;553;1;2;83102
83;85;80;90;90;70;1;3;83103
83;55;40;40;40;70;1;4;83104
83;1630;1326;1345;1410;1145;1;5;83105
83;140;150;165;200;325;1;7;83107
83;25;50;50;60;60;1;8;83108
83;255;690;370;230;230;1;9;83109
83;10;40;28;32;32;1;10;83110
83;2230;2146;1810;1859;1596;2;1;83201
83;150;265;395;570;396;2;2;83202
83;;160;168;48;98;2;3;83203
83;0;90;100;150;395;2;4;83204
83;30;40;55;60;0;2;5;83205
83;0;90;100;150;395;3;0;83300
83;2365;2451;2260;2489;1992;3;1;83301
83;45;160;168;48;98;3;2;83302
84;3088;3294;3496;3411;3866;0;0;84000
84;1000;1045;1105;1005;1095;1;2;84102
84;392;475;420;110;120;1;3;84103
84;1620;1715;1900;2185;2515;1;5;84105
84;62;45;57;95;120;1;9;84109
84;14;14;14;16;16;1;10;84110
84;2411;2529;2856;3096;3501;2;1;84201
84;677;765;640;315;365;2;2;84202
84;0;0;0;0;0;2;4;84204
84;0;0;0;0;0;3;0;84300
84;3088;3294;3496;3411;3866;3;1;84301
85;3006;2465;2906;2240;2742;0;0;85000
85;25;25;30;30;30;1;1;85101
85;25;25;30;30;30;1;2;85102
85;0;0;0;0;0;1;3;85103
85;0;0;0;0;;1;4;85104
85;2065;1514;1530;1680;2132;1;5;85105
85;760;780;1100;300;280;1;7;85107
85;65;20;25;25;30;1;8;85108
85;61;95;179;165;215;1;9;85109
85;5;6;12;10;25;1;10;85110
85;2104;1558;1605;1725;2187;2;1;85201
85;388;252;316;195;195;2;2;85202
85;429;595;890;275;320;2;3;85203
85;85;60;95;45;40;2;4;85204
85;85;60;95;45;40;3;0;85300
85;2452;1810;1921;1920;2382;3;1;85301
85;469;595;890;275;320;3;2;85302
86;5559;6630;6902;7070;7176;0;0;86000
86;810;810;810;910;935;1;1;86101
86;480;501;556;634;654;1;4;86104
86;4269;4334;4426;4508;4346;1;5;86105
